RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Homography_estimator_Prosac_sampler
Runs for each image = 50
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 1
SPRT = 0


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails (<10%),Num fails (<25%),Num fails (<50%)
adam,46,57.52,2.08238,57,45.4,19.0916,46,1.6,83.6579,80,6537,1561,6339,1.43889,0.196688,1.38392,54,2.20604,0,0,0
cafe,15,12.18,2.36203,12,10000,0,10000,0.4,20.7717,1,280576,14377,276671,442.093,693.452,349.881,8,3450.32,0,0,0
mag,22,23.6,3.0706,24,4578.56,3282.63,3729,2,63.7657,60,88064,60489,72063,3.28554,5.67077,2.34676,10,42.1632,0,0,1
cat,7,16.64,2.30137,17,8939.1,2706.78,10000,0.4,28.6523,21,258149,77518,284971,12.1409,5.02093,10.3958,12,29.9318,0,0,0
dum,24,9.12,4.39684,7.5,10000,0,10000,0.02,29.9299,1,345899,3139,344934,91.0415,132.53,34.9552,4,629.992,0,8,39
face,28,39.96,2.79912,40,4219.66,4070.53,2673.5,1.6,73.7719,60,153829,142168,98933,2.6251,0.388676,2.65047,34,3.731,0,0,0
fox,10,15.12,3.10786,16,7479.7,3603.07,10000,0.4,43.7227,40,155439,73376,205304,10.449,15.1823,4.44801,10,77.5299,0,0,0
girl,28,32.6,4.70779,33,8545.54,3425.35,10000,1.6,71.0544,60,442275,174070,514906,4.75678,7.87579,3.62346,9,59.12,0,0,1
graf,57,67.62,1.89403,68,27.46,27.9703,14,1.2,64.9936,60,4402,1311,4006,1.14825,0.0994364,1.11027,62,1.37234,0,0,0
grand,42,43.4,6.36316,45,249.52,1407.24,46,0.82,88.3702,80,27398,85517,15040,4.1388,7.1575,2.20867,21,43.5118,0,0,0
index,38,39.22,6.40245,41,8137.12,3351.96,10000,1.6,73.4102,60,325918,130980,396166,3.8944,7.84965,2.56779,11,56.3613,0,0,1
pkk,17,32.52,2.65145,33,9151.3,2584.39,10000,1.2,71.7376,80,411625,113386,447807,5.2899,1.70758,5.1868,21,16.3961,0,0,0
shop,20,20.84,0.765586,21,190,126.953,157,1.2,44.4338,40,5501,1935,4885,1.3691,0.147995,1.3335,19,1.91465,0,0,0
there,17,23.6,2.74047,24,8128.8,3482.01,10000,0.8,60.3878,60,223232,93327,272613,3.7178,8.45673,2.25144,12,61.9511,0,0,0
vin,7,12.12,2.9182,12,10000,0,10000,0.02,36.2115,20,308556,2283,308453,11.307,12.352,8.04697,7,86.6228,0,0,0
