RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Homography_estimator_Prosac_sampler
Runs for each image = 50
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 1
SPRT = 0


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails (<10%),Num fails (<25%),Num fails (<50%)
adam,46,54.08,5.78118,56,85.7,59.4242,75,1.22,96.6329,100,9390,2443,8989,2.00655,1.02241,1.72055,35,7.83586,0,0,0
cafe,15,12.3,1.8979,13,10000,0,10000,0.04,6.72795,1,264537,1420,263944,4863.54,31335.2,366.117,8,221971,0,0,0
mag,22,20.08,5.49152,20,4287.54,3473.83,2566.5,0.02,35.1375,20,80631,63194,49024,6.01627,2.79473,5.03122,11,14.9362,0,0,0
cat,7,17.86,2.85006,18,7911.2,3311.76,10000,0.04,8.25922,2,228417,93856,284632,11.0818,4.05393,10.1839,12,27.198,0,0,0
dum,24,8.52,3.00503,8,10000,0,10000,0.02,1.84468,1,349306,4010,348440,98.3608,182.935,31.8369,5,1034.73,0,10,43
face,28,21.58,8.25138,20,8008.06,3387.29,10000,2.8,49.4106,2,284520,114973,350741,13.0063,10.9182,7.80401,11,46.6556,0,0,6
fox,10,13.14,1.86274,13,7293.1,3681.41,10000,0.02,1.57234,1,149851,74749,203414,11.5134,16.9673,7.84913,9,107.805,0,0,0
girl,28,16.68,6.57279,15,9103.04,2653.61,10000,0.02,31.8913,2,470846,132587,513689,32.3924,55.0388,23.5102,7,398.901,0,0,18
graf,57,66.54,7.08897,68,69.44,104.714,25.5,1.2,78.2068,61,6531,2804,5935,1.2997,0.907847,1.1119,26,7.41053,0,0,1
grand,42,29.6,9.26481,26,679.4,2382.04,64,0.8,63.9666,40,56749,142816,19479,52.0536,166.963,21.0816,11,1179.63,0,0,2
index,38,23.7,9.38355,21,9672.38,1300.24,10000,1.22,40.2267,3,385396,51191,394508,15.444,13.459,11.7357,11,63.3468,0,0,22
pkk,17,24.9,4.39503,25,9624.1,1482.74,10000,2.4,45.8256,23,449102,70240,460797,6.96057,2.33593,6.6033,17,14.5496,0,0,0
shop,20,17.12,2.88303,16,263.94,234.839,203,0.02,18.4276,2.5,6403,4368,5281,3.55971,4.77708,2.3358,11,34.2461,0,0,0
there,17,15.42,3.22041,15,7977.88,3308.16,10000,0.02,4.53364,1.5,242185,100424,289925,16.6083,13.1664,10.8984,10,56.4622,0,0,0
vin,7,9.76,1.91194,10,10000,0,10000,0.02,1.34392,1,328622,14618,325370,39.6852,100.781,10.9914,7,583.784,0,0,0
