RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Homography_estimator_Prosac_sampler
Runs for each image = 50
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 1
SPRT = 1


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails (<10%),Num fails (<25%),Num fails (<50%)
adam,46,57.66,2.66198,57,66.04,39.6762,51,1.6,77.5081,80,5694,1138,5729,1.51917,0.181688,1.54192,51,2.04011,0,0,0
cafe,15,2.98,1.78988,3,10100,707.107,10000,0,0.880631,1,67915,4685,66990,615.768,539.153,446.086,0,2606.64,8,38,48
mag,22,23.38,3.18728,23,6210.92,3116.77,5792.5,0.8,57.0199,50,50605,23505,46006,4.35493,10.3163,2.96036,10,75.4735,0,0,1
cat,7,8.36,3.32437,8.5,10000,0,10000,0.02,22.5641,1,67139,1425,66630,20.3607,28.1832,7.83653,2,125.723,0,0,1
dum,24,2.92,2.13656,2,10100,707.107,10000,0.02,1.09712,1,70987,5126,69632,193.469,116.637,147.637,0,561.426,33,46,49
face,28,31.96,14.3967,39,10000,0,10000,0.02,70.1881,61,72601,2854,73439,87.1173,254.814,2.76571,4,1574.39,0,8,11
fox,10,13.78,4.97048,14,8683,2929.4,10000,0.4,43.6035,40,64650,20840,72797,116.71,376.735,5.70685,4,1635.44,0,0,1
girl,28,32.96,5.26428,33,9607.84,1940.71,10000,0.8,69.3862,60,72974,12923,75130,4.96203,10.515,3.38316,8,77.678,0,0,1
graf,57,67.76,1.59796,68,37,45.4865,24,1.6,67.6558,60,4313,1476,4023,1.1365,0.0761241,1.11216,61,1.34698,0,0,0
grand,42,21.16,17.8821,13.5,7439.12,4364.64,10000,0.02,60.0726,1,56585,28878,69395,125.701,252.63,33.2349,2,1442.29,10,19,29
index,38,32.12,16.067,40,10000,0,10000,2,78.0847,80,74991,3605,75850,443.095,871.538,2.70706,4,2257.71,0,12,12
pkk,17,13.32,13.4368,6,10000,0,10000,2,50.1355,1.5,72330,3856,69802,150.696,246.162,82.5646,2,1235.78,0,22,33
shop,20,20.66,1.04217,21,306.84,283.926,222.5,1.2,47.8108,40,5225,2350,4412,1.32347,0.124576,1.3061,18,1.91465,0,0,0
there,17,22.72,4.42184,23.5,9265.04,2522.4,10000,1.6,73.5677,70,68705,17648,73809,18.4747,87.1755,2.29789,6,604.51,0,0,2
vin,7,4.46,1.9082,4,10000,0,10000,0.02,3.02459,1,68642,799,68423,382.81,1116.75,35.7747,1,7128.01,0,2,12
