RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Homography_estimator_Prosac_sampler
Runs for each image = 50
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 1
SPRT = 1


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails (<10%),Num fails (<25%),Num fails (<50%)
adam,46,52.82,8.3902,56,154.9,174.696,93.5,0.84,92.029,80,8879,2394,8036,2.89204,3.51781,1.86895,22,21.97,0,0,1
cafe,15,3.16,2.23479,2,10200,989.743,10000,0.02,0.799234,0,71984,7038,69943,826.275,1855.73,362.995,0,13125.1,11,30,48
mag,22,18.32,4.96699,18,6266.46,3612.31,6604,0.04,33.7152,20,51562,27906,54554,7.35331,5.20059,6.05712,10,31.299,0,0,1
cat,7,8.26,3.21228,8,10000,0,10000,0,2.02031,2,68652,1218,68329,24.1735,40.7817,9.67817,2,240.579,0,0,3
dum,24,2.54,2.40077,2,10400,1370.24,10000,0,0.638877,0,76858,9648,73821,319.696,288.075,291.053,0,1802.47,39,47,49
face,28,7.14,3.3259,6,10000,0,10000,0.08,1.42543,1,73281,3430,72216,113.263,131.959,61.3935,3,649.097,0,29,47
fox,10,12.54,3.4179,13,7901,3287.61,10000,0.02,1.87758,1,59891,24344,73229,26.7902,60.5661,11.0742,1,372.01,0,1,1
girl,28,14.76,7.63066,12,9807.76,1359.34,10000,0.08,33.4597,2,75758,9488,75721,47.1622,123.09,21.5292,5,818.414,0,3,31
graf,57,63.5,12.7443,68,141.1,195.672,62,0.84,75.3283,61,6376,2142,6020,2.09692,4.1436,1.1549,17,28.8173,0,0,4
grand,42,12.94,11.857,10,6852.76,4634.9,10000,0.4,28.9447,1,56957,29245,76222,148.867,320.891,110.271,2,2282.57,7,29,42
index,38,7.52,2.85171,7,10000,0,10000,0,1.53862,1,73262,719,73009,1547.11,3633.33,161.195,4,17795.4,0,39,50
pkk,17,5.08,4.6063,3,10000,0,10000,0,0.880631,0,73385,542,73225,348.01,668.597,81.7428,1,2967.38,7,30,41
shop,20,17.82,2.99448,18,303.9,155.584,297,0.04,18.3907,2.5,4011,1383,4086,3.87453,6.40371,2.0381,10,34.2461,0,0,0
there,17,8.32,2.17068,8,9623.08,1865.66,10000,0.02,1.48695,1,68235,12697,70585,57.8003,125.27,28.7289,3,864.466,0,4,31
vin,7,4.06,1.68317,4,10000,0,10000,0,0.845154,0,72014,2490,70775,101.996,187.975,32.0095,1,989.158,0,1,20
