RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Homography_estimator_Uniform_sampler
Runs for each image = 50
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 1
SPRT = 0


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails (<10%),Num fails (<25%),Num fails (<50%)
adam,46,57.54,2.40076,57,777.68,203.78,752,0.8,81.6903,80,22079,4226,21277,1.49996,0.160057,1.48676,50,1.80551,0,0,0
cafe,15,11.46,3.0386,10.5,15000,0,15000,0.02,20.2517,1,394560,3617,393967,728.318,929.197,364.391,7,3370.38,0,0,3
mag,22,24.14,2.61869,24,12138.8,4654.33,15000,0.4,56.1819,60,224413,84644,274342,2.84438,0.957872,2.88366,17,4.94731,0,0,0
cat,7,15.22,2.96435,15.5,15000,0,15000,0.4,21.7972,20,425604,4079,426103,11.5891,3.8502,10.7787,10,25.1447,0,0,0
dum,24,7.56,4.06157,6,15000,0,15000,0.02,20.3772,1,518580,4206,518376,148.729,268.954,63.8806,4,1320.81,0,16,45
face,28,39.7,2.66688,40,15000,0,15000,1.2,76.7982,80,531701,3860,531961,2.61958,0.499372,2.62077,32,3.71634,0,0,0
fox,10,14.26,3.36737,14.5,15000,0,15000,0.02,51.0128,40,310567,3582,309795,12.9801,19.1386,5.10721,9,94.4529,0,0,0
girl,28,27.6,11.9881,33,15000,0,15000,0.02,68.729,60,770022,6063,769173,66.5974,150.532,3.53976,4,524.833,0,5,12
graf,57,67.52,2.03279,68,217.22,15.6978,215,1.2,68.1091,60,7992,1055,7522,1.13355,0.0807226,1.10071,62,1.35195,0,0,0
grand,42,25.98,17.2668,18,15000,0,15000,0.02,61.0432,20,910721,10659,910325,107.618,300.573,20.6453,6,1824.79,0,14,27
index,38,41.16,3.38279,41.5,15000,0,15000,2,74.4668,60,592506,5248,592032,2.31237,0.550792,2.17701,33,3.70636,0,0,0
pkk,17,31.92,2.78363,32,15000,0,15000,1.2,63.4993,60,667217,5981,667524,5.04059,0.72068,5.18617,26,6.18709,0,0,0
shop,20,20.84,0.817163,21,9544.86,5939.37,11927,1.2,48.2257,40,147546,90213,181435,1.35461,0.147608,1.2903,19,1.69142,0,0,0
there,17,19.6,5.10302,20.5,15000,0,15000,0.8,57.6124,60,405787,3339,406114,15.4339,28.4229,2.49918,9,111.513,0,0,0
vin,7,8.52,3.34566,7.5,15000,0,15000,0.02,35.4449,1,459665,2939,459672,105.544,310.328,22.2661,5,1571.41,0,0,0
