RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Homography_estimator_Uniform_sampler
Runs for each image = 50
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 1
SPRT = 0


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails (<10%),Num fails (<25%),Num fails (<50%)
adam,46,55.64,5.3975,57,1467.42,1171.92,1122,1.2,98.2965,100,39189,24463,32631,1.83524,0.553205,1.70756,36,4.12995,0,0,0
cafe,15,11.16,2.07374,10.5,15000,0,15000,0.02,1.38932,1,393695,1843,393538,692.649,1158.64,396.57,9,5588.12,0,0,0
mag,22,22.72,5.07913,24,10478.3,5200.49,15000,1.22,40.302,40,192828,93277,270873,5.2047,6.06518,3.61925,10,28.1575,0,0,3
cat,7,15.28,3.28907,15,15000,0,15000,0.04,5.01109,2,424126,2140,423603,10.6494,2.89936,10.0315,10,16.6989,0,0,0
dum,24,6.36,3.00856,5,15000,0,15000,0.02,1.44349,1,519240,2538,518424,348.503,555.331,114.571,4,2070.9,0,28,47
face,28,15.26,6.77573,13,15000,0,15000,0.02,18.7922,1,528009,2957,527664,25.2932,13.2476,28.2248,9,59.3456,0,0,29
fox,10,11.88,2.42975,12,15000,0,15000,0.04,1.35436,1,307316,1453,307002,25.8701,20.1886,17.4145,9,82.8173,0,0,0
girl,28,13.14,8.32015,11,15000,0,15000,1.24,36.6538,1.5,771057,5086,768797,99.4276,243.042,29.8623,4,1481.32,0,11,32
graf,57,67.42,5.82426,68,233.12,358.979,170,1.22,101.208,102,11058,6111,10147,1.18607,0.37645,1.11053,28,3.7514,0,0,1
grand,42,17.24,11.153,13,15000,0,15000,0.02,32.7861,1,911142,5760,908602,369.996,976.179,49.802,6,4086.35,0,19,39
index,38,18.78,6.83714,17,15000,0,15000,0.02,24.2379,2,641561,68536,609039,20.8759,15.6511,19.7247,11,80.4365,0,0,33
pkk,17,20.68,5.57853,20,15000,0,15000,0.04,28.1616,2,666570,4504,666239,11.2662,6.95557,8.97388,14,30.8605,0,0,0
shop,20,17.28,3.48197,17.5,13687.4,2363.35,15000,0.42,19.2849,20,208136,35320,226473,2.85601,1.90984,1.75497,11,6.66291,0,0,0
there,17,12.96,3.44022,12,15000,0,15000,0.04,1.78771,1,412057,14541,406287,17.2925,13.4974,18.303,9,65.1425,0,0,0
vin,7,8.02,3.12652,7,15000,0,15000,0,1.06904,1,460820,4052,460292,35.4521,38.0631,16.4178,4,166.846,0,0,0
