RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Homography_estimator_Uniform_sampler
Runs for each image = 50
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 1
SPRT = 1


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails (<10%),Num fails (<25%),Num fails (<50%)
adam,46,57.78,2.44357,57.5,719.58,151.044,697,0.8,73.2209,80,10230,1096,9832,1.42162,0.14715,1.40599,50,1.91934,0,0,0
cafe,15,0.84,0.370328,1,15000,0,15000,0,0.606092,0,100472,3066,99783,201.661,63.1735,168.125,0,301.69,50,50,50
mag,22,21.02,6.47283,23.5,7932.12,5051.11,4687,1.2,50.6342,40,61537,37079,37656,9.08265,14.7237,2.15874,8,40.1569,0,0,9
cat,7,1.64,1.61321,1,15000,0,15000,0,0.638877,0,97983,1287,97114,356.758,353.512,252.635,0,2474.88,18,30,40
dum,24,0.18,0.388088,0,15000,0,15000,0.02,0.896478,1,104908,1331,104960,234.283,76.2386,198.923,0,395.37,50,50,50
face,28,6.26,12.9044,2,15000,0,15000,0,27.6147,0,104076,5294,101865,694.127,929.761,339.111,0,2519.45,34,44,44
fox,10,7.52,7.27377,4,15000,0,15000,0.4,34.4122,1,104328,3031,103915,205.206,180.811,293.436,0,473.986,9,19,28
girl,28,0.36,0.484873,0,15000,0,15000,0,0,0,103647,1195,103704,4028.52,7241.76,441.115,0,18366.5,50,50,50
graf,57,67.78,1.74133,68,2031.5,98.4899,1999,1.2,56.2516,60,18251,1210,18125,1.12668,0.0763357,1.10451,62,1.34652,0,0,0
grand,42,0.58,0.810391,0,15000,0,15000,0,0.451754,0,103670,1490,103555,195.59,77.3532,136.008,0,307.286,50,50,50
index,38,8.16,15.8067,1,15000,0,15000,0,40.8109,0,104406,3045,103144,720.01,738.182,473.189,0,2308.46,40,41,41
pkk,17,0.44,0.812152,0,15000,0,15000,0.02,0.198977,0,104057,1858,103983,296.354,361.05,108.791,0,1007.02,40,50,50
shop,20,20.48,1.05444,20.5,11749,3388.26,12734,0.8,54.3826,41,84843,23003,91960,1.44476,0.148088,1.41079,18,1.75326,0,0,0
there,17,0.1,0.303046,0,15000,0,15000,0,0,0,103930,2053,103421,319.116,106.616,283.935,0,635.75,50,50,50
vin,7,0.8,0.404061,1,15000,0,15000,0,0.247436,0,102118,2441,101143,1525.98,1089,1706.15,0,3106.02,10,50,50
