adam,57.78,719.58,0.8,10230,1.42162,0,0,0
cafe,0.84,15000,0,100472,201.661,50,50,50
mag,21.02,7932.12,1.2,61537,9.08265,0,0,9
cat,1.64,15000,0,97983,356.758,18,30,40
dum,0.18,15000,0.02,104908,234.283,50,50,50
face,6.26,15000,0,104076,694.127,34,44,44
fox,7.52,15000,0.4,104328,205.206,9,19,28
girl,0.36,15000,0,103647,4028.52,50,50,50
graf,67.78,2031.5,1.2,18251,1.12668,0,0,0
grand,0.58,15000,0,103670,195.59,50,50,50
index,8.16,15000,0,104406,720.01,40,41,41
pkk,0.44,15000,0.02,104057,296.354,40,50,50
shop,20.48,11749,0.8,84843,1.44476,0,0,0
there,0.1,15000,0,103930,319.116,50,50,50
vin,0.8,15000,0,102118,1525.98,10,50,50
