RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Homography_estimator_Uniform_sampler
Runs for each image = 50
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 1
SPRT = 1


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails (<10%),Num fails (<25%),Num fails (<50%)
adam,46,52.92,6.56472,53.5,2513.9,2481.75,1138,4,100.615,81,25938,16410,17597,2.46552,1.44667,1.77563,34,9.96158,0,0,0
cafe,15,1.72,1.81872,1,15000,0,15000,0,0.903508,0,101754,976,101470,360.224,236.071,241.522,0,982.265,38,38,50
mag,22,21.92,1.77097,23,15000.5,0.504672,15001,0.84,34.4842,20,110844,3103,111808,4.52853,1.70399,4.40198,18,8.43421,0,0,0
cat,7,1.36,1.1205,1,15000,0,15000,0,0,0,99382,1180,98789,294.236,184.268,225.114,0,540.693,10,32,45
dum,24,0.44,0.501426,0,15000,0,15000,0,0,0,107236,1411,107383,753.931,1670.76,198.923,0,5715.82,50,50,50
face,28,0.18,0.388088,0,15000,0,15000,0,0,0,106125,1055,106314,328.59,33.2919,344.031,0,344.031,50,50,50
fox,10,5.04,4.84435,3,15000.2,0.388088,15000,0,1.04002,0,107098,4086,105990,221.679,124.787,244.121,1,397.842,0,21,30
girl,28,1,0.903508,1,15000,0,15000,0,0,0,109423,1732,108882,1178.44,1434.5,486.283,0,4018.16,50,50,50
graf,57,68.12,1.42342,68,411.18,79.0546,400,2.8,91.3902,80,9598,1220,8988,1.0979,0.0698515,1.07787,65,1.37309,0,0,0
grand,42,0.66,0.798212,0,15000,0,15000,0,0,0,111542,1654,111731,259.953,198.864,136.008,0,638.352,50,50,50
index,38,2,1.42857,2,15000,0,15000,0,0,0,106772,1157,106151,333.971,193.486,294.624,0,607.103,40,50,50
pkk,17,1.22,0.736511,1,15000,0,15000,0,0,0,106693,1295,106030,230.737,110.71,198.695,0,479.345,30,50,50
shop,20,16.18,2.2469,16.5,9160.32,2717.89,7533,0.06,19.6292,3,66695,19077,55424,2.62603,1.09326,2.24999,14,4.46539,0,0,0
there,17,1.26,1.41147,0.5,15000,0,15000,0,0,0,104272,1212,104458,297.032,265.591,283.935,0,964.342,31,50,50
vin,7,0.2,0.404061,0,15000,0,15000,0,0,0,105004,1173,105192,169.534,11.1829,175.069,0,175.069,40,50,50
