RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Fundamental_estimator_Uniform_sampler
Runs for each image = 100
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 1
SPRT = 0


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails (<10%),Num fails (<25%),Num fails (<50%)
barrsmith,75,60.34,7.53339,62,10000,0,10000,1,112.11,101,209002,13565,205891,30.0941,75.2309,2.44778,47,330.79,0,0,0
bonhall,1002,1029,0,1029,2,0,2,0.8,57.9775,60,9107,1694,9232,0.107538,0.000537474,0.107791,1029,0.109106,0,0,0
bonython,52,55.44,1.83303,56,10000,0,10000,1.21,89.2049,82,192221,5126,191243,0.555401,0.645325,0.330068,49,2.95813,0,0,0
elderhallb,133,130.92,2.73282,131,312.25,23.6534,315,1.01,152.731,140,16636,4254,15692,0.442943,0.0852337,0.418868,115,0.841368,0,0,0
hartley,123,119.17,4.27833,121,2984.81,982.048,2557,1.6,167.502,161,87100,27508,76728,1.09452,0.28118,1.00659,104,2.26745,0,0,0
johnsona,295,285.01,0.1,285,17,0.284268,17,1,84.4292,80,5730,837,5434,4.87209,0.0240623,4.87635,285,4.91036,0,0,0
johnsonb,571,546,0,546,8,0,8,0.6,49.9474,40,4789,826,4247,7.15372,0.0107278,7.15168,546,7.17889,0,0,0
ladysymon,160,155.19,1.03177,155,54.08,3.09995,54,1,78.9694,80,5460,819,5480,0.519495,0.0372839,0.514785,152,0.663648,0,0,0
library,96,95.55,2.98269,97,889.2,261.529,785,1.2,108.514,90,25099,7493,23006,0.770449,0.639789,0.640646,81,5.45076,0,0,0
napiera,112,115.14,2.60931,116,3152.04,1279.19,2578,0.81,192.017,181,83184,29972,70546,0.389477,0.409437,0.285511,104,2.94472,0,0,0
napierb,157,141.5,1.4668,142,195.34,11.0309,199,0.8,117.142,100,10509,1807,9994,4.30744,0.106136,4.26279,135,4.77513,0,0,0
neem,153,137.13,4.57188,139,139.46,11.6371,139,0.8,131.006,120,9990,1740,9870,4.32702,0.185692,4.24756,118,5.05112,0,0,0
nese,169,162.2,3.24115,163,60.13,3.23383,59,0.6,96.7227,90,6684,1559,6748,0.454119,0.159559,0.387354,150,0.963228,0,0,0
oldclassicswing,256,252.82,2.16669,253,46.37,2.05311,46,0.6,78.6033,80,6310,1018,6419,0.633305,0.0554092,0.629542,235,1.14158,0,0,0
physics,58,49.06,3.58115,48,608.63,260.878,765,0.64,62.9116,62,12494,4469,14704,3.11067,1.78614,3.55347,46,5.1286,0,0,0
sene,132,129.2,1.28708,129,271.42,12.1955,274,2.8,116.496,100,12636,3004,11836,0.339727,0.0411465,0.320038,126,0.43692,0,0,0
unihouse,1739,1796.4,0.898933,1796,6,0,6,0.6,70.6927,60,23170,6114,21052,0.105254,0.00627644,0.103039,1795,0.130348,0,0,0
unionhouse,78,88.33,3.48171,88,10000,0,10000,0.8,148.035,140,252125,5089,251278,0.386272,0.145487,0.367927,81,0.986192,0,0,0
