RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Fundamental_estimator_Uniform_sampler
Runs for each image = 100
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 1
SPRT = 0


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails (<10%),Num fails (<25%),Num fails (<50%)
barrsmith,75,56.93,6.32656,56,10000,0,10000,1.04,70.5519,62,203816,5411,202898,30.1705,53.8001,7.79308,42,174.616,0,0,0
bonhall,1002,1029,0,1029,1.99,0.1,2,0.8,70.3687,60,14643,1777,13830,0.10765,0.000827042,0.107791,1029,0.111462,0,0,0
bonython,52,55.16,0.677488,55,10000,0,10000,1.24,85.645,82,193980,3002,193175,0.38986,0.49893,0.194869,54,1.85548,0,0,0
elderhallb,133,127.45,3.20471,129,397.99,38.4699,415,0.61,89.3236,81,16837,1743,16751,0.536182,0.113926,0.507991,124,0.882493,0,0,0
hartley,123,119.7,2.27192,120,3577.12,787.77,3428,1.01,131.571,120,105238,21233,103474,0.979512,0.19957,0.923296,110,2.13379,0,0,0
johnsona,295,284.84,0.394917,285,21.26,7.71149,18,0.8,64.8217,60,7206,1183,6900,4.81192,0.0539674,4.81208,284,4.89651,0,0,0
johnsonb,571,546,0,546,8.22,2.00293,8,0.8,69.552,60,10430,1666,9898,7.14966,0.0167423,7.15256,546,7.18562,0,0,0
ladysymon,160,155.62,1.52276,156,57.32,2.46953,59,0.41,48.188,41,5836,567,5540,0.498668,0.0373375,0.519316,152,0.599442,0,0,0
library,96,94.38,0.861993,94,1081.83,295.588,979,1.25,113.113,102,30979,6637,28928,0.693174,0.0862729,0.680347,93,1.02095,0,0,0
napiera,112,113.77,3.48113,115,3660.43,1312.12,3520,1.6,137.478,123,93790,31548,89931,0.440726,0.374394,0.374804,100,3.7485,0,0,0
napierb,157,140.52,2.6911,141,214.09,33.7097,209,0.8,79.0892,80,12310,2398,11787,4.58512,0.218113,4.56581,120,6.70435,0,0,0
neem,153,137.23,3.53869,138,206.37,53.9329,169,1,134.014,130,15736,3864,14536,4.30275,0.155829,4.25537,114,5.41278,0,0,0
nese,169,159.57,8.54371,163,99.25,52.8085,79.5,1.4,126.058,120,11494,3282,10931,0.573469,0.335861,0.432459,125,1.85424,0,0,0
oldclassicswing,256,251.72,2.58621,252,49.33,3.44672,49,1,100.203,100,11062,1692,10760,0.634682,0.0700201,0.623139,238,1.10006,0,0,0
physics,58,54.83,1.25573,55,269.33,71.5014,259,0.43,53.4952,43,7800,1296,7536,0.561309,0.195188,0.520645,48,1.62057,0,0,0
sene,132,128.37,1.47474,129,303.74,26.1053,306,0.83,79.2216,60,13275,2033,12700,0.335679,0.0471684,0.321548,124,0.514714,0,0,0
unihouse,1739,1796.39,1.01399,1796,6.01,0.1,6,0.6,96.2545,80,33428,4336,31605,0.104421,0.00454588,0.102784,1795,0.12433,0,0,0
unionhouse,78,88.28,3.2755,88,10000,0,10000,1.02,99.528,100,252429,5435,251195,0.298987,0.231765,0.242537,82,1.58201,0,0,0
