RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Fundamental_estimator_Uniform_sampler
Runs for each image = 100
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 1
SPRT = 1


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails (<10%),Num fails (<25%),Num fails (<50%)
barrsmith,75,57.93,9.05902,56.5,10001.3,1.02986,10001,1.2,95.645,80,59330,3332,59132,53.3907,86.0052,5.6776,42,245.249,0,0,0
bonhall,1002,1029,0,1029,1.99,0.1,2,0.8,56.3237,60,8926,1810,9308,0.10775,0.000373446,0.107791,1029,0.10916,0,0,0
bonython,52,54.41,2.36598,55,9960.44,186.982,10001,1.01,98.2164,81,57421,3290,56784,0.91684,0.763601,0.591529,49,3.33466,0,0,0
elderhallb,133,128.61,6.11158,131,335.99,84.7451,315,0.42,165.701,160,11179,2831,11318,0.60634,0.3899,0.425867,104,2.74947,0,0,0
hartley,123,119.1,5.00606,121,3368.64,1360.37,2710,1.6,175.576,180,27068,6717,24458,1.20028,0.591279,0.996014,105,3.13668,0,0,0
johnsona,295,285,0,285,17.54,0.500908,18,1.2,114.182,100,6859,2608,6544,4.87652,0.0167954,4.87635,285,4.91604,0,0,0
johnsonb,571,546,0,546,9,0,9,0.6,62.9128,60,5799,1015,5686,7.15228,0.00984197,7.14764,546,7.17263,0,0,0
ladysymon,160,155.28,1.00584,155,55.58,9.3411,55,1,115.301,120,6824,1043,6965,0.51826,0.0295024,0.514785,152,0.647982,0,0,0
library,96,95.66,2.06079,97,873.25,168.496,786,0.8,100.233,80,9481,2407,8887,0.719297,0.188817,0.640646,86,2.21698,0,0,0
napiera,112,111.3,6.81427,111,3486.74,1343.92,3127,1.81,132.591,121,26071,8811,22166,1.38551,3.09031,0.522486,86,13.0517,0,0,0
napierb,157,139.41,4.69493,141,212.31,37.4303,199,1.2,98.9945,90,6892,1520,6700,4.32653,0.161662,4.26029,123,5.02076,0,0,0
neem,153,136.59,5.32783,138,204.94,187.938,139,1,118.777,101,7515,2145,7069,4.34813,0.187275,4.26386,101,5.33313,0,0,0
nese,169,162.76,2.8749,163,64.15,13.5821,60,1.01,92.3861,80,5684,1204,5311,0.438012,0.133284,0.388353,144,1.06352,0,0,0
oldclassicswing,256,252.59,1.50484,252,43.16,6.33209,46,0.6,82.4139,80,5843,1281,5725,0.634154,0.0246411,0.626935,242,0.836278,0,0,0
physics,58,48.68,2.91246,49,453.96,260.484,253,0.61,70.4104,81,6618,1469,6213,2.81496,2.07461,1.14631,45,5.24385,0,0,0
sene,132,129.01,1.07774,129,271.77,15.7812,277,0.4,64.682,60,5262,752,5149,0.346345,0.041756,0.333579,126,0.457405,0,0,0
unihouse,1739,1796.57,1.25734,1796,7.05,1.43812,6,0.6,83.4797,80,25544,5535,25019,0.105696,0.00587209,0.103282,1795,0.124006,0,0,0
unionhouse,78,84.46,3.73739,83,10000.9,1.05887,10000.5,1.21,115.455,100,57859,2534,57006,0.542671,0.284228,0.427225,77,1.15492,0,0,0
