barrsmith,57.93,10001.3,1.2,59330,53.3907,0,0,0
bonhall,1029,1.99,0.8,8926,0.10775,0,0,0
bonython,54.41,9960.44,1.01,57421,0.91684,0,0,0
elderhallb,128.61,335.99,0.42,11179,0.60634,0,0,0
hartley,119.1,3368.64,1.6,27068,1.20028,0,0,0
johnsona,285,17.54,1.2,6859,4.87652,0,0,0
johnsonb,546,9,0.6,5799,7.15228,0,0,0
ladysymon,155.28,55.58,1,6824,0.51826,0,0,0
library,95.66,873.25,0.8,9481,0.719297,0,0,0
napiera,111.3,3486.74,1.81,26071,1.38551,0,0,0
napierb,139.41,212.31,1.2,6892,4.32653,0,0,0
neem,136.59,204.94,1,7515,4.34813,0,0,0
nese,162.76,64.15,1.01,5684,0.438012,0,0,0
oldclassicswing,252.59,43.16,0.6,5843,0.634154,0,0,0
physics,48.68,453.96,0.61,6618,2.81496,0,0,0
sene,129.01,271.77,0.4,5262,0.346345,0,0,0
unihouse,1796.57,7.05,0.6,25544,0.105696,0,0,0
unionhouse,84.46,10000.9,1.21,57859,0.542671,0,0,0
