RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Fundamental_estimator_Uniform_sampler
Runs for each image = 100
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 1
SPRT = 1


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails (<10%),Num fails (<25%),Num fails (<50%)
barrsmith,75,52.7,8.97415,47,10001,1.19304,10001,0.22,49.4427,42,59726,3007,60782,51.3551,83.9711,22.6878,43,317.36,0,0,0
bonhall,1002,1029,0,1029,4,0,4,0.6,68.3163,60,14431,1809,13726,0.107742,0.00110485,0.107791,1029,0.112848,0,0,0
bonython,52,53.95,1.84432,54,10001.2,1.02863,10001,0.83,74.6211,63,56885,1906,56531,0.44487,0.295292,0.514631,52,0.931124,0,0,0
elderhallb,133,129.11,3.18105,130,518.06,201.505,446,1,125.757,120,11822,2217,11608,0.533396,0.207155,0.426662,118,1.73973,0,0,0
hartley,123,115.35,4.42987,116,4340.35,1488.92,4088,0.81,120.513,120,31145,8591,28626,1.2729,0.489156,1.06458,104,3.15015,0,0,0
johnsona,295,284.85,0.5,285,22.62,10.7626,21,1,50.117,40,5822,824,5345,4.83215,0.0553303,4.85156,284,4.9076,0,0,0
johnsonb,571,546,0,546,8.78,0.970056,8,0.4,65.1475,60,9849,1455,9600,7.14749,0.0148283,7.14996,546,7.1761,0,0,0
ladysymon,160,152.89,4.86358,155,68.87,17.6873,61,1.21,86.018,81,6918,1164,6646,0.842192,1.15697,0.519316,137,7.65816,0,0,0
library,96,95.4,1.72328,96,856.49,187.546,867,0.6,69.7919,60,9431,920,9135,0.700588,0.144782,0.652937,85,1.78074,0,0,0
napiera,112,111.12,6.50607,114,3703.76,1619.29,3665,1.01,120.194,120,28395,9057,27754,1.219,2.26505,0.318976,88,10.6402,0,0,0
napierb,157,140.11,2.02955,141,203.36,48.1713,210,0.6,71.4449,60,6704,1049,6496,4.49477,0.1428,4.56938,132,4.72407,0,0,0
neem,153,131.01,7.26621,133,223.64,60.708,226,0.6,80.3585,60,7062,1799,6950,4.61328,0.460676,4.46948,107,6.99921,0,0,0
nese,169,160.59,2.81803,159,67.71,20.3952,65,1.2,89.689,80,7029,1340,6759,0.561646,0.15273,0.675231,147,0.994093,0,0,0
oldclassicswing,256,252.75,2.24902,253,49.46,2.13872,50,1.2,83.6124,80,8511,1294,8347,0.631439,0.0677797,0.611613,239,1.02467,0,0,0
physics,58,44.29,2.72398,42,1079.17,466.828,1472,0.26,35.3939,26,9121,2255,10835,2.79309,0.442305,2.43748,42,3.71194,0,0,0
sene,132,128.06,2.20569,129,305.92,84.3391,292,1,105.199,100,9635,1823,9219,0.367181,0.120788,0.323224,115,1.23559,0,0,0
unihouse,1739,1796.4,1.03475,1796,7.27,0.962477,8,0.8,68.3851,60,27615,3231,26416,0.104093,0.00448194,0.102576,1795,0.1239,0,0,0
unionhouse,78,84.74,4.8422,87,10000.9,0.995901,10001,0.6,78.8432,80,56538,2167,56221,0.590425,0.375151,0.440134,77,1.91958,0,0,0
