RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Fundamental_estimator_Prosac_sampler
Runs for each image = 100
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 1
SPRT = 0


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails (<10%),Num fails (<25%),Num fails (<50%)
barrsmith,0,154.39,12.862,157,4.62,2.7516,3,1.21,125.489,121,6781,1991,6722,-1,-1,-1,56,-1,-1,-1,-1
bonhall,0,660,0,660,1,0,1,0.6,58.5174,60,6124,434,6206,-1,-1,-1,660,-1,-1,-1,-1
bonython,0,34.63,3.13228,36,8.07,4.58204,8,0.1,5.32367,5,712,134,690,-1,-1,-1,27,-1,-1,-1,-1
elderhallb,0,313,0,313,1,0,1,0.4,43.1806,40,3410,503,3195,-1,-1,-1,313,-1,-1,-1,-1
hartley,0,192.08,0.661801,192,1,0,1,0.6,68.8119,60,3911,822,3558,-1,-1,-1,191,-1,-1,-1,-1
johnsona,0,500,0,500,1.08,0.464497,1,0.6,74.1092,60,6075,1086,5503,-1,-1,-1,500,-1,-1,-1,-1
johnsonb,0,495,0,495,1,0,1,0.4,60.8425,60,5213,1039,5129,-1,-1,-1,495,-1,-1,-1,-1
ladysymon,0,249,0,249,1,0,1,0.8,67.493,60,4150,665,3833,-1,-1,-1,249,-1,-1,-1,-1
library,0,74,0,74,2.18,0.386123,2,0.6,44.1279,40,2238,421,2055,-1,-1,-1,74,-1,-1,-1,-1
napiera,0,101.09,9.18067,104,13.37,5.43958,12,0.6,123.98,100,6151,2175,5551,-1,-1,-1,55,-1,-1,-1,-1
napierb,0,152.96,3.30265,154,4.96,1.8473,4,0.8,85.0791,80,4832,1265,4725,-1,-1,-1,137,-1,-1,-1,-1
neem,0,221.85,0.538892,222,1.06,0.50891,1,0.8,81.2687,80,4588,1078,4568,-1,-1,-1,218,-1,-1,-1,-1
nese,0,271.25,41.2879,296,1.71,1.30496,1,1.2,88.727,80,5603,1866,5317,-1,-1,-1,186,-1,-1,-1,-1
oldclassicswing,0,539,0,539,1,0,1,0.4,57.858,60,5757,535,5880,-1,-1,-1,539,-1,-1,-1,-1
physics,0,39.41,2.69715,40,19.94,19.7396,11,0.08,4.0899,4,791,294,659,-1,-1,-1,24,-1,-1,-1,-1
sene,0,221.08,7.534,222,1.26,0.980825,1,1.4,73.0073,60,4381,1455,3984,-1,-1,-1,148,-1,-1,-1,-1
unihouse,0,648.28,1.8427,649,1,0,1,0.8,73.0506,60,8107,1795,7309,-1,-1,-1,642,-1,-1,-1,-1
unionhouse,0,71.47,4.68277,74,1.32,0.897584,1,1,88.9388,80,4340,1093,4082,-1,-1,-1,52,-1,-1,-1,-1
