RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Fundamental_estimator_Prosac_sampler
Runs for each image = 100
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 1
SPRT = 0


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails (<10%),Num fails (<25%),Num fails (<50%)
barrsmith,0,127.08,33.0377,143,9.21,3.01945,9,0.43,58.719,43,5277,1675,4934,-1,-1,-1,43,-1,-1,-1,-1
bonhall,0,660,0,660,1,0,1,0.8,69.0986,60,10189,1000,9588,-1,-1,-1,660,-1,-1,-1,-1
bonython,0,32.33,3.12712,33,10.81,6.73704,8.5,0.05,4.49809,4,930,178,896,-1,-1,-1,24,-1,-1,-1,-1
elderhallb,0,312.99,0.1,313,1,0,1,0.4,45.3101,40,4688,551,4442,-1,-1,-1,312,-1,-1,-1,-1
hartley,0,192.25,0.729951,192,1,0,1,1,71.812,60,4951,1033,4507,-1,-1,-1,191,-1,-1,-1,-1
johnsona,0,500.15,0.35887,500,3.57,5.04376,1,1,67.4874,60,10106,1502,9595,-1,-1,-1,500,-1,-1,-1,-1
johnsonb,0,495.02,0.140705,495,1.33,1.18964,1,0.4,56.4727,40,8241,1466,7301,-1,-1,-1,495,-1,-1,-1,-1
ladysymon,0,249,0,249,1.22,0.938299,1,0.4,62.1182,60,5255,1136,5185,-1,-1,-1,249,-1,-1,-1,-1
library,0,73.53,0.744746,74,3.29,1.45848,3,0.6,32.2371,20,1897,627,1482,-1,-1,-1,68,-1,-1,-1,-1
napiera,0,98.33,9.14093,104,16.62,6.07658,16,1.01,80.7019,62,5186,1471,4706,-1,-1,-1,62,-1,-1,-1,-1
napierb,0,149.78,9.33288,154,8.12,4.5975,7.5,1.2,89.5357,80,6618,1748,6254,-1,-1,-1,120,-1,-1,-1,-1
neem,0,220.04,8.23508,221,2.97,2.95575,2,0.6,67.2048,60,5590,1367,5286,-1,-1,-1,140,-1,-1,-1,-1
nese,0,236.87,40.1116,219,3.47,2.37604,3,0.6,83.7783,80,7242,1616,7182,-1,-1,-1,181,-1,-1,-1,-1
oldclassicswing,0,539,0,539,1,0,1,0.6,59.6356,60,8334,678,8245,-1,-1,-1,539,-1,-1,-1,-1
physics,0,33.09,3.34572,35,35.35,19.7169,36.5,0.03,2.84227,3,1181,307,1230,-1,-1,-1,23,-1,-1,-1,-1
sene,0,220.79,4.33052,222,1.9,1.57313,1,0.6,62.781,60,4905,1319,4866,-1,-1,-1,204,-1,-1,-1,-1
unihouse,0,646.59,2.2612,647,1.04,0.242878,1,1,80.59,80,11925,2111,11937,-1,-1,-1,642,-1,-1,-1,-1
unionhouse,0,62.72,8.52102,66.5,1.78,1.0971,2,0.6,61.6636,60,3485,1343,3542,-1,-1,-1,49,-1,-1,-1,-1
