barrsmith,127.08,9.21,0.43,5277,-1,-1,-1,-1
bonhall,660,1,0.8,10189,-1,-1,-1,-1
bonython,32.33,10.81,0.05,930,-1,-1,-1,-1
elderhallb,312.99,1,0.4,4688,-1,-1,-1,-1
hartley,192.25,1,1,4951,-1,-1,-1,-1
johnsona,500.15,3.57,1,10106,-1,-1,-1,-1
johnsonb,495.02,1.33,0.4,8241,-1,-1,-1,-1
ladysymon,249,1.22,0.4,5255,-1,-1,-1,-1
library,73.53,3.29,0.6,1897,-1,-1,-1,-1
napiera,98.33,16.62,1.01,5186,-1,-1,-1,-1
napierb,149.78,8.12,1.2,6618,-1,-1,-1,-1
neem,220.04,2.97,0.6,5590,-1,-1,-1,-1
nese,236.87,3.47,0.6,7242,-1,-1,-1,-1
oldclassicswing,539,1,0.6,8334,-1,-1,-1,-1
physics,33.09,35.35,0.03,1181,-1,-1,-1,-1
sene,220.79,1.9,0.6,4905,-1,-1,-1,-1
unihouse,646.59,1.04,1,11925,-1,-1,-1,-1
unionhouse,62.72,1.78,0.6,3485,-1,-1,-1,-1
