RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Fundamental_estimator_Prosac_sampler
Runs for each image = 100
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 1
SPRT = 1


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails (<10%),Num fails (<25%),Num fails (<50%)
barrsmith,0,153.83,13.0291,157,6.08,4.30804,5,1.4,120.917,102,6435,2076,6162,-1,-1,-1,41,-1,-1,-1,-1
bonhall,0,660,0,660,1,0,1,0.6,59.0268,60,6249,350,6253,-1,-1,-1,660,-1,-1,-1,-1
bonython,0,34.22,3.16413,36,10.24,6.48716,8,0.05,5.32333,5,745,123,734,-1,-1,-1,27,-1,-1,-1,-1
elderhallb,0,313,0,313,1.09,0.3509,1,0.4,42.9479,40,3441,447,3262,-1,-1,-1,313,-1,-1,-1,-1
hartley,0,192.2,0.710669,192,1.41,0.65281,1,0.6,65.2854,60,3717,700,3557,-1,-1,-1,191,-1,-1,-1,-1
johnsona,0,500,0,500,2.06,1.00323,2,0.6,71.8262,60,6303,1162,6487,-1,-1,-1,500,-1,-1,-1,-1
johnsonb,0,495,0,495,3.9,0.301511,4,0.6,60.9445,60,5325,1033,5328,-1,-1,-1,495,-1,-1,-1,-1
ladysymon,0,249,0,249,1.97,0.881402,2,0.8,67.4978,60,4075,755,3755,-1,-1,-1,249,-1,-1,-1,-1
library,0,74,0,74,2.98,1.29474,2,0.4,43.9632,40,2272,343,2124,-1,-1,-1,74,-1,-1,-1,-1
napiera,0,91.21,17.0278,104,19.94,11.5153,19.5,0.8,91.8461,80,4620,2222,4418,-1,-1,-1,54,-1,-1,-1,-1
napierb,0,152.5,5.65239,154,6.47,4.79152,4.5,0.6,83.0259,80,4818,1154,4759,-1,-1,-1,110,-1,-1,-1,-1
neem,0,220.89,7.69874,222,1.33,1.94913,1,0.6,80.0473,80,4712,1197,4669,-1,-1,-1,145,-1,-1,-1,-1
nese,0,275.49,38.5889,296,1.65,1.45904,1,0.4,83.6124,80,5299,1567,5211,-1,-1,-1,193,-1,-1,-1,-1
oldclassicswing,0,539,0,539,1.13,0.337998,1,0.4,57.858,60,5616,493,5754,-1,-1,-1,539,-1,-1,-1,-1
physics,0,38.29,4.4728,40,29.24,30.1361,14.5,0.04,4.02176,4,783,248,686,-1,-1,-1,22,-1,-1,-1,-1
sene,0,221.8,1.60806,222,1.52,1.0198,1,0.4,72.9311,60,4286,1454,3883,-1,-1,-1,206,-1,-1,-1,-1
unihouse,0,648.35,1.65374,648,1.63,0.970837,1,1,75.3859,80,8534,1913,8884,-1,-1,-1,644,-1,-1,-1,-1
unionhouse,0,71.4,4.72902,74,1.64,1.77821,1,0.8,89.4264,80,4433,1032,4155,-1,-1,-1,57,-1,-1,-1,-1
