RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Fundamental_estimator_Prosac_sampler
Runs for each image = 100
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 1
SPRT = 1


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails (<10%),Num fails (<25%),Num fails (<50%)
barrsmith,0,108.18,41.4679,129,15.62,5.95061,15,0.03,46.1649,41,4716,1248,4531,-1,-1,-1,41,-1,-1,-1,-1
bonhall,0,660,0,660,1,0,1,0.6,65.5251,60,9798,1008,9372,-1,-1,-1,660,-1,-1,-1,-1
bonython,0,32.55,2.5,33,12.58,7.23233,11,0.04,4.3744,4,934,148,915,-1,-1,-1,26,-1,-1,-1,-1
elderhallb,0,313,0,313,1.07,0.293189,1,0.4,43.6422,40,4713,505,4513,-1,-1,-1,313,-1,-1,-1,-1
hartley,0,192.24,0.740188,192,1.68,0.664846,2,0.8,73.1015,80,5157,1014,5414,-1,-1,-1,191,-1,-1,-1,-1
johnsona,0,500.1,0.301511,500,6.38,9.04956,2,0.6,65.4091,60,9525,1406,8995,-1,-1,-1,500,-1,-1,-1,-1
johnsonb,0,495.05,0.219043,495,3.8,1.78093,3,0.8,53.7679,40,7983,1351,7150,-1,-1,-1,495,-1,-1,-1,-1
ladysymon,0,249,0,249,1.97,0.904032,2,0.6,65.1423,60,5412,1122,5236,-1,-1,-1,249,-1,-1,-1,-1
library,0,73.64,0.482418,74,4.25,2.2535,3.5,0.4,30.5134,20,1855,599,1501,-1,-1,-1,73,-1,-1,-1,-1
napiera,0,87.69,16.675,92,25.18,8.39237,25,0.8,57.3425,40,3884,1681,3461,-1,-1,-1,54,-1,-1,-1,-1
napierb,0,147.3,10.4393,151.5,11.81,7.00461,9.5,2,90.6765,80,6657,1776,6258,-1,-1,-1,120,-1,-1,-1,-1
neem,0,219.67,7.32514,221,3.87,4.58512,2,0.4,69.5486,60,5549,1601,5160,-1,-1,-1,152,-1,-1,-1,-1
nese,0,236.15,37.8432,223,4.08,3.31413,3,0.6,84.8831,80,7437,2015,7167,-1,-1,-1,188,-1,-1,-1,-1
oldclassicswing,0,539,0,539,1.66,0.476095,2,0.6,58.9946,60,8235,532,8233,-1,-1,-1,539,-1,-1,-1,-1
physics,0,32.71,4.22665,34,55.11,31.3675,49,0.02,2.84289,3,1227,344,1148,-1,-1,-1,23,-1,-1,-1,-1
sene,0,221.37,3.26801,222,2.19,1.76781,2,0.6,59.0035,60,4931,1429,4909,-1,-1,-1,204,-1,-1,-1,-1
unihouse,0,646.43,5.27861,647,1.49,0.797661,1,0.8,79.6355,80,11808,2120,11914,-1,-1,-1,600,-1,-1,-1,-1
unionhouse,0,63.43,7.92548,66.5,2,1.66969,2,0.21,61.593,60,3465,1163,3526,-1,-1,-1,49,-1,-1,-1,-1
