RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Fundamental_estimator_Uniform_sampler
Runs for each image = 100
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 1
SPRT = 0


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails (<10%),Num fails (<25%),Num fails (<50%)
barrsmith,0,157.06,2.17804,157,39.77,6.19197,38,1.4,112.576,100,8081,1933,7609,-1,-1,-1,150,-1,-1,-1,-1
bonhall,0,660,0,660,1,0,1,0.4,59.0579,60,6912,1009,6538,-1,-1,-1,660,-1,-1,-1,-1
bonython,0,36,0,36,49,0,49,0.05,4.97493,5,1216,27,1212,-1,-1,-1,36,-1,-1,-1,-1
elderhallb,0,313,0,313,2,0,2,0.4,41.039,40,3382,468,3186,-1,-1,-1,313,-1,-1,-1,-1
hartley,0,191.82,0.592547,192,2.25,0.435194,2,0.41,55.1049,51,3518,1002,3566,-1,-1,-1,191,-1,-1,-1,-1
johnsona,0,500,0,500,7.96,0.196946,8,0.6,84.3828,80,7121,1453,6792,-1,-1,-1,500,-1,-1,-1,-1
johnsonb,0,495,0,495,7,0,7,0.4,95.7481,80,7484,2326,6754,-1,-1,-1,495,-1,-1,-1,-1
ladysymon,0,249,0,249,3.87,0.337998,4,0.6,74.8048,80,4737,888,4802,-1,-1,-1,249,-1,-1,-1,-1
library,0,74,0,74,5.8,0.402015,6,0.61,69.2593,61,3635,600,3287,-1,-1,-1,74,-1,-1,-1,-1
napiera,0,104.33,1.51127,105,38.97,11.8539,36,0.67,66.088,67,4675,694,4736,-1,-1,-1,95,-1,-1,-1,-1
napierb,0,152.97,2.51241,154,61.55,6.73207,59,1,136.426,121,8906,2127,8738,-1,-1,-1,144,-1,-1,-1,-1
neem,0,221.74,0.440844,222,7.73,0.446196,8,0.8,72.6024,60,4543,829,4065,-1,-1,-1,221,-1,-1,-1,-1
nese,0,293.28,15.1691,298,8.75,3.84649,7,1.41,123.677,120.5,7904,2363,8104,-1,-1,-1,224,-1,-1,-1,-1
oldclassicswing,0,539,0,539,1,0,1,0.4,41.039,40,4312,429,4166,-1,-1,-1,539,-1,-1,-1,-1
physics,0,40,0,40,111.6,33.9732,84,0.06,5.25891,6,1980,401,1684,-1,-1,-1,40,-1,-1,-1,-1
sene,0,221.94,0.238683,222,6.16,0.368453,6,1,121.903,120,7493,1871,7353,-1,-1,-1,221,-1,-1,-1,-1
unihouse,0,648.66,1.79348,649,4.05,0.219043,4,0.8,62.6358,60,7612,1608,7270,-1,-1,-1,643,-1,-1,-1,-1
unionhouse,0,73.85,0.657129,74,21.37,1.96769,21,0.41,97.7778,100,5068,775,5114,-1,-1,-1,68,-1,-1,-1,-1
