barrsmith,157.06,39.77,1.4,8081,-1,-1,-1,-1
bonhall,660,1,0.4,6912,-1,-1,-1,-1
bonython,36,49,0.05,1216,-1,-1,-1,-1
elderhallb,313,2,0.4,3382,-1,-1,-1,-1
hartley,191.82,2.25,0.41,3518,-1,-1,-1,-1
johnsona,500,7.96,0.6,7121,-1,-1,-1,-1
johnsonb,495,7,0.4,7484,-1,-1,-1,-1
ladysymon,249,3.87,0.6,4737,-1,-1,-1,-1
library,74,5.8,0.61,3635,-1,-1,-1,-1
napiera,104.33,38.97,0.67,4675,-1,-1,-1,-1
napierb,152.97,61.55,1,8906,-1,-1,-1,-1
neem,221.74,7.73,0.8,4543,-1,-1,-1,-1
nese,293.28,8.75,1.41,7904,-1,-1,-1,-1
oldclassicswing,539,1,0.4,4312,-1,-1,-1,-1
physics,40,111.6,0.06,1980,-1,-1,-1,-1
sene,221.94,6.16,1,7493,-1,-1,-1,-1
unihouse,648.66,4.05,0.8,7612,-1,-1,-1,-1
unionhouse,73.85,21.37,0.41,5068,-1,-1,-1,-1
