RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Fundamental_estimator_Uniform_sampler
Runs for each image = 100
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 1
SPRT = 0


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails (<10%),Num fails (<25%),Num fails (<50%)
barrsmith,0,151.36,2.39326,151,100.52,24.2089,118,1.01,78.7139,80,8020,1178,7571,-1,-1,-1,149,-1,-1,-1,-1
bonhall,0,660,0,660,1,0,1,0.6,47.399,40,8112,788,7606,-1,-1,-1,660,-1,-1,-1,-1
bonython,0,31.6,1.63299,31,60,0,60,0.05,4.8653,5,1776,46,1782,-1,-1,-1,31,-1,-1,-1,-1
elderhallb,0,312.99,0.1,313,2,0,2,0.6,54.9663,60,5294,604,5545,-1,-1,-1,312,-1,-1,-1,-1
hartley,0,192.16,1.97827,192.5,2.69,0.72048,3,0.61,71.5342,61,5158,859,4916,-1,-1,-1,174,-1,-1,-1,-1
johnsona,0,500.34,0.476095,500,9.21,1.35061,9,0.6,59.8311,60,8785,1499,8859,-1,-1,-1,500,-1,-1,-1,-1
johnsonb,0,495.02,0.140705,495,8.02,2.21099,7,0.8,63.5489,60,9161,1433,9018,-1,-1,-1,495,-1,-1,-1,-1
ladysymon,0,249.01,0.1,249,4.56,0.856585,4,0.6,63.2446,60,5320,1141,5280,-1,-1,-1,249,-1,-1,-1,-1
library,0,74,0,74,10,0,10,0.6,59.6993,60,3507,168,3467,-1,-1,-1,74,-1,-1,-1,-1
napiera,0,104,0,104,36,0,36,0.23,22.8847,23,3035,54,3015,-1,-1,-1,104,-1,-1,-1,-1
napierb,0,153.78,1.21089,154,60.86,7.49547,59,1.01,104.493,101,8981,1445,8772,-1,-1,-1,144,-1,-1,-1,-1
neem,0,221.45,0.967919,222,15.66,6.9037,12,0.8,114.44,100,8301,2020,7970,-1,-1,-1,218,-1,-1,-1,-1
nese,0,287.57,15.7642,294,14,3.78727,16,1.4,100.897,100,8534,1919,8588,-1,-1,-1,222,-1,-1,-1,-1
oldclassicswing,0,539,0,539,1,0,1,0.6,54.602,60,7606,764,7940,-1,-1,-1,539,-1,-1,-1,-1
physics,0,32.46,2.96587,30,492.49,54.8685,538,0.02,4.05014,5,7351,881,7848,-1,-1,-1,30,-1,-1,-1,-1
sene,0,221.58,2.60605,222,11.4,4.62317,12.5,1,99.9545,100,7275,1535,7221,-1,-1,-1,203,-1,-1,-1,-1
unihouse,0,647.31,2.74761,648,4.6,0.512471,5,0.6,90.9406,80,12574,2278,12034,-1,-1,-1,642,-1,-1,-1,-1
unionhouse,0,68.91,2.24326,67.5,38.54,5.42985,42,0.61,77.5779,62,5009,837,4577,-1,-1,-1,67,-1,-1,-1,-1
