barrsmith,151.36,100.52,1.01,8020,-1,-1,-1,-1
bonhall,660,1,0.6,8112,-1,-1,-1,-1
bonython,31.6,60,0.05,1776,-1,-1,-1,-1
elderhallb,312.99,2,0.6,5294,-1,-1,-1,-1
hartley,192.16,2.69,0.61,5158,-1,-1,-1,-1
johnsona,500.34,9.21,0.6,8785,-1,-1,-1,-1
johnsonb,495.02,8.02,0.8,9161,-1,-1,-1,-1
ladysymon,249.01,4.56,0.6,5320,-1,-1,-1,-1
library,74,10,0.6,3507,-1,-1,-1,-1
napiera,104,36,0.23,3035,-1,-1,-1,-1
napierb,153.78,60.86,1.01,8981,-1,-1,-1,-1
neem,221.45,15.66,0.8,8301,-1,-1,-1,-1
nese,287.57,14,1.4,8534,-1,-1,-1,-1
oldclassicswing,539,1,0.6,7606,-1,-1,-1,-1
physics,32.46,492.49,0.02,7351,-1,-1,-1,-1
sene,221.58,11.4,1,7275,-1,-1,-1,-1
unihouse,647.31,4.6,0.6,12574,-1,-1,-1,-1
unionhouse,68.91,38.54,0.61,5009,-1,-1,-1,-1
