RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Fundamental_estimator_Uniform_sampler
Runs for each image = 100
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 1
SPRT = 1


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails (<10%),Num fails (<25%),Num fails (<50%)
barrsmith,0,156.34,2.93437,157,41.24,6.52132,40,1,99.2161,100,6074,1181,5976,-1,-1,-1,148,-1,-1,-1,-1
bonhall,0,660,0,660,1.61,0.490207,2,0.6,58.8575,60,7168,1295,6433,-1,-1,-1,660,-1,-1,-1,-1
bonython,0,36,0,36,28,0,28,0.04,3.97995,4,850,128,796,-1,-1,-1,36,-1,-1,-1,-1
elderhallb,0,313,0,313,2,0,2,0.6,53.1554,60,4319,859,4579,-1,-1,-1,313,-1,-1,-1,-1
hartley,0,192.35,0.71598,192,4.33,1.17254,5,0.6,65.3003,60,3649,1075,3495,-1,-1,-1,191,-1,-1,-1,-1
johnsona,0,500,0,500,8.9,0.438086,9,0.8,67.8465,60,5834,834,5376,-1,-1,-1,500,-1,-1,-1,-1
johnsonb,0,495,0,495,8,0,8,1,59.1437,40,4974,1584,4053,-1,-1,-1,495,-1,-1,-1,-1
ladysymon,0,249,0,249,5.34,1.249,6,0.6,70.1016,60,4309,607,3968,-1,-1,-1,249,-1,-1,-1,-1
library,0,74,0,74,6,0,6,0.4,43.1806,40,2174,322,2045,-1,-1,-1,74,-1,-1,-1,-1
napiera,0,101.16,5.22179,104,77.55,51.2223,55.5,0.4,97.0491,80,5237,1722,5201,-1,-1,-1,82,-1,-1,-1,-1
napierb,0,153.63,3.02733,154,64.05,10.7378,62,0.81,71.6475,61,5030,1098,4666,-1,-1,-1,136,-1,-1,-1,-1
neem,0,221.74,0.74698,222,7.65,0.657129,8,0.6,114.019,100,6402,1900,5858,-1,-1,-1,218,-1,-1,-1,-1
nese,0,297.98,2.86737,299,6.68,2.14561,6,1.4,102.402,100,6558,1755,6366,-1,-1,-1,275,-1,-1,-1,-1
oldclassicswing,0,539,0,539,1,0,1,0.4,50.8529,50,4964,766,5063,-1,-1,-1,539,-1,-1,-1,-1
physics,0,28,0,28,869,0,869,0.02,1.98998,2,5236,105,5204,-1,-1,-1,28,-1,-1,-1,-1
sene,0,220.99,3.60274,222,10.68,5.15395,8,1,98.5972,100,6012,1275,6143,-1,-1,-1,205,-1,-1,-1,-1
unihouse,0,648.56,1.59747,648,5.23,0.962478,6,0.8,69.3193,60,7670,1717,7157,-1,-1,-1,645,-1,-1,-1,-1
unionhouse,0,72.79,2.27545,74,27.09,5.6463,25,1.6,131.931,140,6274,1486,6647,-1,-1,-1,67,-1,-1,-1,-1
