RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Fundamental_estimator_Uniform_sampler
Runs for each image = 100
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 1
SPRT = 1


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails (<10%),Num fails (<25%),Num fails (<50%)
barrsmith,0,157.52,1.8284,158,111.98,4.43808,113,0.61,45.7334,41,4900,520,4688,-1,-1,-1,145,-1,-1,-1,-1
bonhall,0,660,0,660,1,0,1,0.6,59.6796,60,9188,1070,9236,-1,-1,-1,660,-1,-1,-1,-1
bonython,0,33,0,33,106,0,106,0.06,5.96993,6,1532,35,1519,-1,-1,-1,33,-1,-1,-1,-1
elderhallb,0,312.98,0.140705,313,2,0,2,0.6,48.4403,40,5014,601,4605,-1,-1,-1,312,-1,-1,-1,-1
hartley,0,192.36,0.689312,192,2.63,0.485237,3,0.61,66.5248,61,4771,989,4612,-1,-1,-1,191,-1,-1,-1,-1
johnsona,0,500.11,0.314466,500,17.39,8.32532,18,0.61,88.4784,81,11389,2647,11121,-1,-1,-1,500,-1,-1,-1,-1
johnsonb,0,495.02,0.140705,495,7.88,2.41326,7,0.8,59.2955,60,8394,1331,8450,-1,-1,-1,495,-1,-1,-1,-1
ladysymon,0,249,0,249,6.06,2.86328,5,0.4,67.9572,60,5646,1158,5382,-1,-1,-1,249,-1,-1,-1,-1
library,0,74,0,74,5,0,5,0.4,40.7941,40,2467,186,2423,-1,-1,-1,74,-1,-1,-1,-1
napiera,0,104.46,1.46625,105,54.47,31.3054,42,0.41,56.4935,61,4248,828,4300,-1,-1,-1,95,-1,-1,-1,-1
napierb,0,139.3,8.38168,132.5,220.66,73.1527,272,0.81,103.874,101,8976,1751,8689,-1,-1,-1,128,-1,-1,-1,-1
neem,0,218.37,1.07923,218,14.91,6.92688,14,0.2,29.507,20,3188,966,2875,-1,-1,-1,218,-1,-1,-1,-1
nese,0,285.69,19.242,294,26.24,15.4103,27.5,1,69.2164,60,6637,1266,6428,-1,-1,-1,210,-1,-1,-1,-1
oldclassicswing,0,539,0,539,1,0,1,0.4,43.6422,40,6723,562,6490,-1,-1,-1,539,-1,-1,-1,-1
physics,0,30,0,30,614,0,614,0.03,2.98496,3,4318,160,4268,-1,-1,-1,30,-1,-1,-1,-1
sene,0,221.21,0.40936,221,8.94,0.238683,9,0.6,88.0866,80,6664,1311,6293,-1,-1,-1,221,-1,-1,-1,-1
unihouse,0,647.05,2.73169,647,4.79,0.71485,5,1.2,99.8188,100,13839,2296,13722,-1,-1,-1,642,-1,-1,-1,-1
unionhouse,0,70.13,1.54171,69,33.63,9.24379,31,0.8,57.0375,60,3454,787,3489,-1,-1,-1,66,-1,-1,-1,-1
