barrsmith,157.52,111.98,0.61,4900,-1,-1,-1,-1
bonhall,660,1,0.6,9188,-1,-1,-1,-1
bonython,33,106,0.06,1532,-1,-1,-1,-1
elderhallb,312.98,2,0.6,5014,-1,-1,-1,-1
hartley,192.36,2.63,0.61,4771,-1,-1,-1,-1
johnsona,500.11,17.39,0.61,11389,-1,-1,-1,-1
johnsonb,495.02,7.88,0.8,8394,-1,-1,-1,-1
ladysymon,249,6.06,0.4,5646,-1,-1,-1,-1
library,74,5,0.4,2467,-1,-1,-1,-1
napiera,104.46,54.47,0.41,4248,-1,-1,-1,-1
napierb,139.3,220.66,0.81,8976,-1,-1,-1,-1
neem,218.37,14.91,0.2,3188,-1,-1,-1,-1
nese,285.69,26.24,1,6637,-1,-1,-1,-1
oldclassicswing,539,1,0.4,6723,-1,-1,-1,-1
physics,30,614,0.03,4318,-1,-1,-1,-1
sene,221.21,8.94,0.6,6664,-1,-1,-1,-1
unihouse,647.05,4.79,1.2,13839,-1,-1,-1,-1
unionhouse,70.13,33.63,0.8,3454,-1,-1,-1,-1
