barrsmith,68.16,15000,3.82,299465,871.732,0
biscuitbookbox,98.48,2867.14,3.34,67195,214672,0
biscuitbook,102.06,15000,6.5,357652,139370,0
biscuit,145.84,928.94,4.42,27020,82.0435,0
boardgame,78.64,15000,2.54,343779,310785,47
bonython,56.66,15000,1.84,291048,40.8342,0
book,102.02,190.04,1.88,7974,72.1514,0
breadcartoychips,70.52,15000,3.18,310819,976480,50
breadtoycar,54.4,12698,3.8,231790,1.58091e+06,10
breadtoy,136.48,650.92,1.8,21850,98815.2,0
carchipscube,59.6,3353.34,2.98,65615,27270.4,6
cubebreadtoychips,118.98,8202.2,5.92,207136,1.10791e+06,23
cubetoy,103.84,1393.84,2.34,34427,1969.95,0
elderhallb,133.4,283.96,1.98,11687,53.9519,0
gamebiscuit,142,785,1.96,28120,214.497,0
game,68.34,15000,3.44,305176,35.7687,0
hartley,125.58,2128.76,1.76,61116,122.287,0
johnsona,288,16,1.8,7326,1444.47,0
johnsonb,550,7,1.9,11476,4084.61,0
ladysymon,159.2,47.12,1.54,6066,85.4031,0
library,96.92,789.8,1.9,20779,63.6038,0
napiera,118.64,2424.84,1.82,63786,36.2804,0
napierb,143.3,179.26,1.82,9191,695.323,0
neem,141.6,123.78,1.84,7937,668.404,0
nese,163.56,65.5,2.7,8691,113.379,0
oldclassicswing,257.94,42.06,1.6,6349,164.85,0
physics,56.42,284.34,1.96,7581,104.251,0
sene,130.78,250.14,3.74,13174,47.0207,0
toycubecar,80.2,1431.7,3.88,35424,240383,0
unihouse,1804,6,1.9,32779,183.428,0
unionhouse,96.28,15000,3.78,373638,25.2346,0
