RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Fundamental_estimator_Uniform_sampler
Runs for each image = 50
Threshold for each image = 3
Desired probability for each image = 0.95
Standard LO = 1
Graph Cut LO = 1
SPRT = 1


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails
barrsmith,75,67.56,6.43067,71,14740.6,822.43,15001,2.3,144.083,115,87855,4174,89562,921.402,4442.22,169.287,52,31579.3,0
biscuitbookbox,162,89.46,4.45939,93,4882.98,2663.81,2646,2.74,142.261,143.5,32290,12527,23639,350773,55119,324450,84,642785,0
biscuitbook,179,101.18,2.93251,101.5,12759.1,2738.56,13994,2.1,135.192,120,68699,11027,73287,221470,309559,78589.1,90,1.73313e+06,0
biscuit,146,147.24,1.40785,148,507.92,79.6461,488,1.68,102.065,98,10234,988,10058,68.856,4.36983,68.688,142,73.5818,0
boardgame,166,78.62,2.78399,79,14458.3,1394.45,15001,5.48,201.217,182.5,87782,8404,86868,343970,172102,357190,73,835945,47
bonython,52,55.96,2.65699,57,14330.4,1364.81,15001,3.3,118.839,98,78244,8847,76869,48.5365,68.5892,22.6717,47,270.386,0
book,105,103.06,2.23525,104,191.92,18.9918,187,2.16,106.714,108.5,7421,953,7179,60.4076,18.1807,52.1529,91,136.67,0
breadcartoychips,155,26.3,26.3712,42.5,14763.3,1062.43,15001,0,133.247,101,78817,7458,77865,-nan,-nan,-nan,0,3.8203e+06,50
breadtoycar,110,51.88,3.83666,54.5,7602.74,4328.71,3886,6.72,247.645,263.5,52612,20734,37203,3.20327e+06,2.14661e+06,1.35008e+06,43,6.8105e+06,25
breadtoy,182,129.94,7.87507,128,798.54,198.388,827,1.98,99.674,96,10441,1582,10405,183646,141960,206402,118,354480,0
carchipscube,105,55.4,3.87562,54.5,6284.2,3110.53,6008,3.66,162.062,159,36983,14409,36444,400514,360164,292955,50,1.11449e+06,10
cubebreadtoychips,239,108.22,11.2328,106.5,7148.1,4190.24,6165,5.94,175.987,155,46421,20373,46353,1.4387e+06,637003,1.09373e+06,79,2.61384e+06,41
cubetoy,150,72.3,14.4734,69,11300.2,4433.74,14549.5,3.36,145.07,113,65448,21714,74612,1.37871e+06,1.3652e+06,582009,55,3.92578e+06,29
elderhallb,133,133.22,0.581694,133,286.52,25.7319,283,2.4,122.909,118,9822,1123,9467,55.2419,8.65387,55.6763,132,82.671,0
gamebiscuit,161,0,0,0,15000.9,1.00691,15000,0,0,0,71172,3536,70403,-nan,-nan,-nan,0,-nan,50
game,63,0,0,0,15001.4,0.92582,15002,0,0,0,74938,4208,73847,-nan,-nan,-nan,0,-nan,50
hartley,123,124.08,5.01361,125,2460.48,1090.91,2099,1.82,127.448,113.5,20884,6077,19411,154.301,122.681,116.071,110,610.397,0
johnsona,295,288,0,288,15.1,0.303046,15,2.1,113.922,115,11048,1052,10827,1444.47,0.000616548,1444.47,288,1444.47,0
johnsonb,571,550,0,550,11,0,11,2.4,113.526,115,17558,1356,17292,4084.44,1.17335,4084.77,550,4084.77,0
ladysymon,160,159.3,1.38873,160,50.24,12.275,46,2.04,113.206,102,7510,1644,7083,88.4681,7.91384,89.8069,154,96.3668,0
library,96,96.82,0.522553,97,760.68,85.776,779,2.2,138.462,119,12036,2211,11070,64.3559,4.72366,61.502,94,73.2435,0
napiera,112,115.88,6.16322,119,3035.58,1147.94,2833,2.32,162.051,116,29686,10992,27229,76.1209,96.0636,42.3246,99,572.759,0
napierb,157,143.44,0.786623,143,178.3,7.14357,182,2.38,114.55,116,8226,410,8184,695.879,11.7291,699.252,143,727.1,0
neem,153,141.58,1.08965,142,125.04,9.95902,123,2.14,107.955,106,7855,1147,7597,668.438,17.1727,674.158,138,712.941,0
nese,169,163.62,5.48426,165,64.58,28.1831,56,3.86,163.201,147.5,11475,2662,11406,100.367,54.8031,67.5484,133,285.066,0
oldclassicswing,256,257.9,0.364216,258,42.24,0.822143,42,1.64,90.7761,92,9274,830,9178,164.762,2.63562,164.235,256,174.486,0
physics,58,55.62,3.48109,57,295.94,149.94,231,2.06,115.832,110,7122,1816,6246,131.354,168.353,37.8997,45,488.331,0
sene,132,131.08,0.395897,131,246.54,2.27865,247,2.18,116.258,118,9823,963,9533,44.1496,3.48288,41.7784,131,49.3301,0
toycubecar,128,82.04,5.69626,81,1451.88,644.518,1355,3.48,168.058,155,16463,3952,15556,220770,56723.1,239082,71,355482,0
unihouse,1739,0,0,0,15000,0,15000,0,0,0,78071,4041,77409,-nan,-nan,-nan,0,-nan,50
unionhouse,78,93.32,6.56658,95,14897.5,326.836,15000,2.2,146.354,115.5,85703,8230,83257,40.9588,36.6514,21.3893,82,140.322,0
