RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Homography_estimator_Uniform_sampler,,,,,,,,,,,,,
Runs for each image = 50
Threshold for each image = 3
Desired probability for each image = 0.99
Standard LO = 0
Graph Cut LO = 0
SPRT = 0


Filename,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg time (mcs),Std dev time,Med time,Num fails
adam,23.04 / 27,7.53214,27,390.4,71.9595,429,7401,5355,5989,11
Brussels,418.9 / 370,6.78609,420,537.78,324.552,467,22743,12930,18473,0
LePoint1,109.96 / 70,7.1055,114,236.08,125.78,227,5094,2742,4738,0
boat,72.54 / 68,12.3903,75,1789.92,433.908,1957,30940,7484,32102,3
CapitalRegion,45 / 64,16.302,40.5,3097.82,1401.84,2960.5,56238,25161,53517,15
LePoint2,86.86 / 82,8.62131,91,408.78,285.148,348,7215,4636,6262,0
BostonLib,57.02 / 58,4.87597,58,12466.9,6595.27,11274,251108,130362,235878,0
city,25 / 25,0,25,4.1,1.63195,3,218,57,226,0
LePoint3,41.04 / 35,1.41364,41,206.68,90.533,201.5,3912,1736,3625,0
Boston,316 / 316,0,316,206.5,137.509,164.5,8385,5157,6794,0
Eiffel,83.86 / 76,4.30477,85,1958.82,1057.77,1745,40512,21211,37535,0
WhiteBoard,181.84 / 178,0.738448,182,264.42,140.836,253,6051,3001,5733,0
BruggeSquare,22.12 / 23,4.57874,22,536.14,188.489,547,7498,2582,7695,0
ExtremeZoom,9.3 / 14,2.58133,10,6319.02,1994.43,5577,88534,28168,80865,5
BruggeTower,56.06 / 55,4.49222,57,79.14,38.9715,71,1394,591,1259,0
graf,215.32 / 207,2.52692,215,135.76,83.2894,116.5,3594,2179,3077,0
