RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Homography_estimator_Prosac_sampler
Runs for each image = 100
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 0
SPRT = 1


Filename,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Worst case num Inl,adam,20 / 26,0,20,707.73,32.6543,697,0,0,0,8929,626,8789,20,41.9152,0
Brussels,371.97 / 237,35.6817,384,107.88,106.143,74,0,0,0,2967,1723,2444,207,882.771,0
LePoint1,46.61 / 48,23.2552,29.5,10.96,7.82888,6,0,0,0,548,173,554,22,784751,1
boat,22.54 / 57,3.60252,22,62.08,11.8685,62,0,0,0,1186,210,1138,14,4895.44,100
CapitalRegion,18.91 / 33,5.02538,19,142.08,164.769,97,0,0,0,2498,2607,1687,12,140543,25
LePoint2,48.35 / 56,16.4786,56,72.07,44.0214,59,0,0,0,1514,743,1375,12,20066.4,20
BostonLib,50.62 / 55,15.2784,57,37.35,24.2801,27,0,0,0,947,402,852,11,17759.3,15
city,25 / 25,0,25,394.3,5.17082,393,0,0,0,5149,274,5076,25,14.7602,0
LePoint3,32.97 / 19,7.16678,34,61.49,12.4231,57,0,0,0,1122,209,1086,12,1654.9,0
Boston,316 / 308,0,316,18.37,10.7728,18,0,0,0,1015,249,961,316,172.384,0
Eiffel,69.37 / 76,11.7925,75,17.01,7.96773,16,0,0,0,662,164,663,23,784.08,4
WhiteBoard,142.28 / 144,0.69747,142,11.48,3.01672,11,0,0,0,581,73,568,142,352.255,0
BruggeSquare,14.19 / 16,0.849183,14,155.32,86.5006,149,0,0,0,2248,1156,2131,11,1057.55,0
ExtremeZoom,10.09 / 12,0.77973,10,3731.11,1294.93,3628,0,0,0,49201,16809,47018,9,878.399,0
BruggeTower,47.24 / 37,2.16081,47,28.34,8.25872,26.5,0,0,0,678,152,643,40,158.911,0
graf,140.73 / 200,88.0037,206,10.16,1.86797,10,0,0,0,559,207,633,20,80492.5,35
