RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Homography_estimator_Prosac_sampler
Runs for each image = 100
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 1
SPRT = 0


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails (<10%),Num fails (<25%),Num fails (<50%)
adam,132,133.4,0.512471,133,5.05,6.7635,1,1,87.2316,81,5942,1528,6118,0.811714,0.0039829,0.810661,133,0.825675,0,0,0
Brussels,979,1601.83,2.31837,1602,6.35,4.77657,5,0.8,87.8992,80,36047,5087,35166,1.60756,0.0171117,1.60946,1597,1.64225,0,0,0
boat,263,304.11,3.60946,305,4.11,2.02955,3,0.8,89.0563,80,11324,1584,10810,1.12169,0.0453835,1.11548,288,1.24996,0,0,0
BostonLib,343,412,0,412,1,0,1,0.6,60.2108,60,8432,934,8427,0.424586,0.00425488,0.422392,412,0.433568,0,0,0
city,38,39.66,0.755051,40,9.98,1.34074,9.5,0.41,53.3339,41,3193,725,2734,0.588988,0.0238303,0.576923,38,0.63358,0,0,0
Boston,716,730,0,730,1.1,0.731679,1,1,93.9385,80,20057,2562,19890,0.624183,0.00201901,0.623589,730,0.63388,0,0,0
Eiffel,358,359.33,0.472582,359,1,0,1,1.2,85.268,80,11925,1356,11499,0.470273,0.00427632,0.468303,359,0.485687,0,0,0
WhiteBoard,152,175.76,2.20248,176,3.24,2.96825,1,1.01,106.664,101,8388,1676,8132,0.676003,0.0398896,0.674145,161,0.946545,0,0,0
BruggeSquare,26,54.57,8.9795,59,30.92,35.2986,19,0.61,73.4416,61,5774,1911,5862,3.92561,1.55208,4.30029,29,13.2251,0,0,0
ExtremeZoom,69,131.66,0.684902,132,322.34,445.138,109,0.82,70.9165,61.5,12377,8781,8986,0.72997,0.0187581,0.729635,130,0.782184,0,0,0
BruggeTower,130,183.09,2.454,183,8.13,6.39863,6,1.01,111.928,121,9676,1917,9893,2.32711,0.20696,2.2757,174,2.87284,0,0,0
graf,195,208.78,2.67642,209,13.56,3.45043,13,1.2,140.536,140,14458,2143,14469,1.80849,0.132715,1.76444,202,2.14119,0,0,0
