adam,133.35,4.64,1,6067,0.811137,0,0,0
Brussels,1601.34,6.48,0.8,35320,1.60841,0,0,0
boat,303.96,4.42,1,9993,1.12868,0,0,0
CapitalRegion,7.3,10000,0.02,187664,452.38,0,0,10
BostonLib,412,1,0.6,8714,0.425615,0,0,0
city,39.82,9.78,0.41,3403,0.584628,0,0,0
Boston,730,1.34,0.8,20843,0.62404,0,0,0
Eiffel,359.32,1,0.6,12113,0.471409,0,0,0
WhiteBoard,174.79,3.35,0.41,8199,0.697771,0,0,0
BruggeSquare,54.15,33.53,1,5914,4.01377,0,0,0
ExtremeZoom,131.64,413.12,0.8,13616,0.73031,0,0,0
BruggeTower,183.27,7.55,1.01,9397,2.30561,0,0,0
graf,209.94,13.53,1.2,14016,1.79044,0,0,0
