RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Homography_estimator_Prosac_sampler
Runs for each image = 100
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 1
SPRT = 1


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails (<10%),Num fails (<25%),Num fails (<50%)
adam,132,133.33,0.472582,133,5.24,7.01242,1,0.8,82.7665,81,5702,1521,5815,0.811007,0.00320165,0.810495,133,0.821821,0,0,0
Brussels,979,1601.55,2.35863,1602,44.81,142.185,10,0.6,89.9016,80,36194,4215,34826,1.60792,0.0174792,1.61296,1596,1.63477,0,0,0
boat,263,304.75,3.08916,305,8.04,4.13148,6,0.81,90.7589,81,9981,1660,9508,1.13293,0.0531486,1.11904,286,1.27161,0,0,0
CapitalRegion,12,2.08,3.31108,1,10000.1,0.287624,10000,0,0.550482,0,71418,2633,70688,-nan,-nan,494.873,0,-nan,63,83,86
BostonLib,343,412,0,412,1.29,0.456048,1,0.6,62.0762,60,8563,974,8440,0.425384,0.00460392,0.422392,412,0.433768,0,0,0
city,38,39.72,0.69747,40,10.91,2.34884,10,0.41,52.2943,41,3129,597,2712,0.585597,0.0228646,0.573037,38,0.63358,0,0,0
Boston,716,730,0,730,2.73,2.75921,2,1,91.5931,80,19728,2647,18894,0.623941,0.00190017,0.623288,730,0.634726,0,0,0
Eiffel,358,359.31,0.486068,359,1.44,0.498888,1,1,87.6829,80,12336,1582,11693,0.470744,0.00555417,0.467921,358,0.498308,0,0,0
WhiteBoard,152,175.66,2.20752,176,4.72,5.18561,1,1,105.522,100,8273,1517,8001,0.675812,0.0404018,0.673873,161,0.946545,0,0,0
BruggeSquare,26,52.26,10.6994,56.5,48.09,33.3773,42.5,0.61,74.5698,61.5,5593,1867,5542,4.01034,2.18604,4.41486,21,20.6201,0,0,0
ExtremeZoom,69,131.64,0.643852,132,553.99,608.284,453,0.01,70.6296,61,9656,4214,8896,0.733537,0.0190797,0.730372,130,0.83334,0,0,0
BruggeTower,130,183.17,2.03035,183,10.32,11.873,7,1.41,107.325,101,8935,1588,8652,2.32199,0.204249,2.27255,178,2.85276,0,0,0
graf,195,209.44,3.22966,210,14.34,3.45306,15,1.8,136.038,140,13636,2199,13609,1.79803,0.167145,1.7506,203,2.17053,0,0,0
