RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Homography_estimator_Prosac_sampler
Runs for each image = 100
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 1
SPRT = 1


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails (<10%),Num fails (<25%),Num fails (<50%)
adam,132,133.24,0.452155,133,1,0,1,0.6,69.499,60,4551,949,3981,0.812955,0.00381472,0.812729,133,0.823853,0,0,0
Brussels,979,1601.9,2.61503,1602,44.83,122.789,8,0.6,76.1151,80,22813,4428,22806,1.6008,0.0251568,1.60599,1594,1.64266,0,0,0
boat,263,304.96,2.53429,305,7.79,4.19546,6,1.2,72.4576,60,6406,1156,5706,1.13276,0.0525651,1.12347,299,1.25967,0,0,0
BostonLib,343,412,0,412,1.31,0.464823,1,0.4,56.2864,60,5941,1132,6243,0.424921,0.00449984,0.422392,412,0.433188,0,0,0
city,38,40,0,40,1,0,1,0.21,20.8947,21,1349,28,1347,0.573036,5.99049e-07,0.573037,40,0.573037,0,0,0
Boston,716,730,0,730,2,0,2,0.8,82.8921,80,13503,2593,12853,0.623324,0.000945463,0.623101,730,0.628535,0,0,0
Eiffel,358,359.4,0.531816,359,1.34,0.476095,1,1,68.533,60,8187,1435,7519,0.47115,0.00561612,0.468936,358,0.488933,0,0,0
WhiteBoard,152,176,0,176,1,0,1,0.8,64.955,60,4663,624,4368,0.660184,0.00595906,0.658074,176,0.67896,0,0,0
BruggeSquare,26,53.98,4.20913,53,33.54,20.3273,27,0.6,46.6463,40,3480,803,3115,3.22185,0.827336,3.04011,44,4.7285,0,0,0
ExtremeZoom,69,132.41,0.668104,133,174.49,190.522,103.5,0.6,67.4233,60,5948,1802,5447,0.726821,0.00821474,0.724949,131,0.747534,0,0,0
BruggeTower,130,183.86,1.68786,184,7.01,2.70613,7,1.01,86.1098,81,6568,1327,6338,2.23625,0.128252,2.22947,179,2.75143,0,0,0
graf,195,211.39,5.03502,211,13.05,3.61639,13,0.6,74.8939,60,6580,1358,5917,1.68034,0.208907,1.70782,205,1.96595,0,0,0
