RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Homography_estimator_Prosac_sampler
Runs for each image = 100
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 1
Graph Cut LO = 0
SPRT = 0


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails
adam,26,26,0,26,2078.71,29.8678,2067.5,1,99.4498,100,31178,911,31179,433.191,0.000153357,433.191,26,433.191,0
Brussels,237,386,0,386,7.2,2.99157,6.5,1,99.4498,100,15945,452,15917,24289.5,0.0157037,24289.5,386,24289.5,0
LePoint1,48,72.42,9.03549,74,42.22,4.21536,43,1,106.618,100,8245,1309,8120,892.416,1512.37,636.419,20,12283.5,2
boat,57,64,0,64,10.14,4.24745,9,1,99.4987,100,6451,591,6312,3990.8,0.00147222,3990.8,64,3990.8,0
CapitalRegion,33,48.47,7.48257,50,85.45,44.904,78,1,96.6556,100,8107,1654,8215,13694.9,11569.2,12430.7,12,128068,4
LePoint2,56,69,0,69,20.94,16.1569,14,0.97,98.6822,100,6353,356,6300,176.491,4.6007e-05,176.491,69,176.491,0
BostonLib,55,57,0,57,8.43,6.01052,5,1,99.4007,100,6165,548,6039,105300,0.0392593,105300,57,105300,0
city,25,25,0,25,61.33,12.6204,58,1,95.0776,95,5502,841,5260,199.917,1.53357e-05,199.917,25,199.917,0
LePoint3,19,35.19,10.5502,40,23.37,17.5129,11,1,86.8832,96,4536,1729,5169,1702.9,3269.04,397.493,12,11129.8,0
Boston,308,316,0,316,1.69,1.15203,1,1,102.883,100,11933,936,11652,11529.9,0.000981482,11529.9,316,11529.9,0
Eiffel,76,76.6,1.66969,77,22.33,2.36581,23,1,116.216,100,8406,2221,7534,14005.4,80.325,13978.3,62,14368.8,0
WhiteBoard,144,177,0,177,8.41,2.2612,8,1,99.4498,100,8738,217,8720,17237.4,0.00588889,17237.4,177,17237.4,0
BruggeSquare,16,21.97,3.8598,24,138.71,79.3717,135.5,1,87.6569,100,5507,2196,5101,6647.81,136.057,6592.03,14,7074.73,0
ExtremeZoom,12,9.77,0.802206,10,428.7,372.58,275,0,0,0,6249,5335,4266,23583.8,945.646,22969.1,9,25137.3,0
BruggeTower,37,49,0,49,13.35,1.92996,13,1,99.4987,100,6063,967,5812,7265.25,0.00245371,7265.25,49,7265.25,0
graf,200,207.01,0.1,207,7.84,1.85167,7,1,98.4468,100,9396,571,9457,1017.09,0.0815841,1017.08,207,1017.7,0
