adam,26,2078.71,1,31178,433.191,0
Brussels,386,7.2,1,15945,24289.5,0
LePoint1,72.42,42.22,1,8245,892.416,2
boat,64,10.14,1,6451,3990.8,0
CapitalRegion,48.47,85.45,1,8107,13694.9,4
LePoint2,69,20.94,0.97,6353,176.491,0
BostonLib,57,8.43,1,6165,105300,0
city,25,61.33,1,5502,199.917,0
LePoint3,35.19,23.37,1,4536,1702.9,0
Boston,316,1.69,1,11933,11529.9,0
Eiffel,76.6,22.33,1,8406,14005.4,0
WhiteBoard,177,8.41,1,8738,17237.4,0
BruggeSquare,21.97,138.71,1,5507,6647.81,0
ExtremeZoom,9.77,428.7,0,6249,23583.8,0
BruggeTower,49,13.35,1,6063,7265.25,0
graf,207.01,7.84,1,9396,1017.09,0
