RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Homography_estimator_Prosac_sampler
Runs for each image = 100
Threshold for each image = 3
Desired probability for each image = 0.99
Standard LO = 1
Graph Cut LO = 1
SPRT = 1


Filename,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg time (mcs),Std dev time,Med time,Num fails
adam,27 / 27,0,27,712.65,31.9745,702,9239,688,9073,0
Brussels,430.85 / 370,1.05768,431,53.96,26.4758,46,5519,607,5457,0
LePoint1,115.35 / 70,11.5377,117,32.61,4.59005,32,2486,306,2433,1
boat,77 / 68,0,77,34.72,4.57061,34,2138,260,2117,0
CapitalRegion,71.59 / 64,11.8723,74,42.32,17.4234,35,2428,571,2253,4
LePoint2,91.01 / 82,0.0999999,91,38.31,6.71452,38,2112,193,2102,0
BostonLib,58 / 58,0,58,33.94,5.57741,31,2149,124,2125,0
city,25 / 25,0,25,209.62,33.5841,201,3165,451,3063,0
LePoint3,43 / 35,0,43,38.2,2.4079,37,2098,503,1816,0
Boston,316 / 316,0,316,28.76,3.41748,27,4220,652,3930,0
Eiffel,85.21 / 76,3.16641,86,35.09,2.74909,36,2755,326,2694,0
WhiteBoard,182 / 178,0,182,30.54,3.94,31,2708,211,2724,0
BruggeSquare,28.86 / 23,1.4,29,35.34,7.53473,35,1646,366,1585,0
ExtremeZoom,12 / 14,3.01511,11,2245.42,710.946,2472.5,30625,9743,32592,0
BruggeTower,59 / 55,0,59,29.14,0.93225,29,1648,63,1639,0
graf,215.59 / 207,1.25606,215,34.48,11.5378,33,3524,960,3420,0
