RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Homography_estimator_Prosac_sampler
Runs for each image = 100
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 1
SPRT = 0


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails (<10%),Num fails (<25%),Num fails (<50%)
adam,132,133.28,0.451261,133,1,0,1,0.8,71.4026,60,4610,755,4733,0.813043,0.00427721,0.810682,133,0.827267,0,0,0
Brussels,979,1602,2.71918,1602,5.49,4.80214,4,0.6,79.2916,80,23270,4075,22809,1.60413,0.0217735,1.60592,1594,1.65846,0,0,0
boat,263,304.94,2.62782,305,4.19,2.05822,3,0.6,69.8469,60,6429,1027,5876,1.14008,0.0543475,1.12775,297,1.27869,0,0,0
BostonLib,351,422,0,422,2.69,1.50215,3,0.4,50.6969,40,5838,1116,5298,0.429435,0.000986069,0.429213,422,0.433708,0,0,0
city,36,38,0,38,1,0,1,0.21,20.8947,21,1241,21,1236,0.543685,2.3962e-07,0.543685,38,0.543685,0,0,0
Boston,716,730,0,730,1,0,1,0.6,84.1488,80,13577,2952,13090,0.619191,0.00116956,0.618818,730,0.624997,0,0,0
Eiffel,350,353.1,0.301511,353,1,0,1,0.8,64.9699,60,7677,1556,7160,0.45999,0.00771916,0.457367,353,0.493266,0,0,0
WhiteBoard,149,175.07,0.256432,175,2.22,1.45352,2,0.6,66.9742,60,4511,615,4178,0.664897,0.00595109,0.662545,175,0.683216,0,0,0
BruggeSquare,29,56.09,3.43216,57,28.67,13.0043,28,0.4,50.0069,40,3493,871,3170,2.66011,0.930303,2.29598,47,4.56882,0,0,0
ExtremeZoom,68,131.49,0.594503,132,51.79,49.0313,41.5,0.8,68.2254,60,5369,1326,5064,0.725931,0.00950492,0.724386,130,0.760214,0,0,0
BruggeTower,133,183.75,1.4521,184,5.1,0.858704,5,0.42,64.7712,62,5032,1134,4972,2.18649,0.128543,2.17802,178,2.6898,0,0,0
graf,199,223.25,6.10907,221,15.25,7.8655,12,0.8,70.6598,60,6616,1491,6221,1.53182,0.404059,1.71822,211,2.08191,0,0,0
