RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Homography_estimator_Prosac_sampler
Runs for each image = 100
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 1
SPRT = 0


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails (<10%),Num fails (<25%),Num fails (<50%)
adam,132,133.29,0.477684,133,4.4,5.97131,1,0.2,89.0633,81,5999,1468,6005,0.810824,0.00304397,0.810496,133,0.823853,0,0,0
Brussels,979,1602.02,2.71539,1602,5.54,5.12554,4,0.8,89.5324,80,36281,4452,34771,1.6039,0.0218447,1.60931,1592,1.65927,0,0,0
boat,263,304.74,3.34429,306,4.09,2.01055,3,1.2,91.2987,81,10879,2004,10175,1.12899,0.0545046,1.12217,294,1.27113,0,0,0
BostonLib,351,422,0,422,2.67,1.46374,3,0.4,53.136,60,8518,957,9003,0.429452,0.00105636,0.429213,422,0.43516,0,0,0
city,36,37.28,0.451261,37,10.45,3.03972,11,0.21,31.0685,21,2333,935,1761,0.545129,0.00105634,0.545725,37,0.547343,0,0,0
Boston,716,730.02,0.2,730,1,0,1,1,91.6769,80,25577,3446,25245,0.619544,0.00222626,0.618854,730,0.631976,0,0,0
Eiffel,350,353.03,0.171447,353,1,0,1,1,73.1416,70,12132,1806,12301,0.457955,0.00557476,0.456103,353,0.48672,0,0,0
WhiteBoard,149,172.56,6.99974,175,3.31,2.49725,2,1.2,92.6773,80.5,7645,2098,7461,0.711219,0.0832486,0.681464,135,0.932094,0,0,0
BruggeSquare,29,51.74,6.85288,54,36.59,32.3641,27,0.41,62.087,41,5688,2052,5492,3.17192,1.16811,3.34426,31,8.06001,0,0,0
ExtremeZoom,68,130.87,0.77401,131,589.19,694.096,264,1.02,74.5612,62,19580,15010,13389,0.732533,0.0117886,0.731897,130,0.754841,0,0,0
BruggeTower,133,183.83,1.58309,184,6.15,3.13783,5,0.82,103.286,102,10005,2192,9489,2.18317,0.131839,2.18133,181,2.67825,0,0,0
graf,199,220.08,3.22139,220,15.53,8.83228,15,1.2,108.187,100,13986,2371,13881,1.74618,0.186799,1.74621,214,2.15597,0,0,0
