adam,133.29,4.4,0.2,5999,0.810824,0,0,0
Brussels,1602.02,5.54,0.8,36281,1.6039,0,0,0
boat,304.74,4.09,1.2,10879,1.12899,0,0,0
BostonLib,422,2.67,0.4,8518,0.429452,0,0,0
city,37.28,10.45,0.21,2333,0.545129,0,0,0
Boston,730.02,1,1,25577,0.619544,0,0,0
Eiffel,353.03,1,1,12132,0.457955,0,0,0
WhiteBoard,172.56,3.31,1.2,7645,0.711219,0,0,0
BruggeSquare,51.74,36.59,0.41,5688,3.17192,0,0,0
ExtremeZoom,130.87,589.19,1.02,19580,0.732533,0,0,0
BruggeTower,183.83,6.15,0.82,10005,2.18317,0,0,0
graf,220.08,15.53,1.2,13986,1.74618,0,0,0
