RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Homography_estimator_Prosac_sampler
Runs for each image = 100
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 1
SPRT = 1


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails (<10%),Num fails (<25%),Num fails (<50%)
adam,132,133.22,0.416333,133,1,0,1,0.6,68.1594,60,4293,660,3938,0.811775,0.00243823,0.810682,133,0.819266,0,0,0
Brussels,979,1602.19,2.54929,1603,61.32,187.555,8,1.6,75.5393,80,22674,4954,22549,1.59908,0.0229256,1.59739,1595,1.64661,0,0,0
boat,263,304.99,3.00335,306,7.65,4.22445,6,1,73.2575,60,6714,1243,5958,1.12919,0.0528843,1.12034,295,1.28632,0,0,0
BostonLib,351,422,0,422,4.58,3.15966,5,0.6,53.1197,60,5800,923,6320,0.429348,0.000770733,0.429213,422,0.433708,0,0,0
city,36,38,0,38,1,0,1,0.21,20.8947,21,1257,44,1241,0.543685,2.3962e-07,0.543685,38,0.543685,0,0,0
Boston,716,730,0,730,2,0,2,1.2,79.3234,80,12469,2018,12461,0.618991,0.00118145,0.618713,730,0.624819,0,0,0
Eiffel,350,353.07,0.256432,353,1.18,0.386123,1,0.8,65.7684,60,7643,1684,7293,0.458918,0.0066762,0.45712,353,0.496847,0,0,0
WhiteBoard,149,175.05,0.219043,175,4.1,3.00673,3,0.8,65.9047,60,4870,837,4444,0.664763,0.00581376,0.662545,175,0.683216,0,0,0
BruggeSquare,29,56.03,3.47416,57,39.49,19.2509,34,0.4,48.287,40,3779,908,3417,2.5428,1.02046,2.28382,47,4.30704,0,0,0
ExtremeZoom,68,131.37,0.613896,131,151.68,161.235,87,0.6,64.3209,60,5540,1494,5134,0.72666,0.0104014,0.724386,130,0.74731,0,0,0
BruggeTower,133,183.89,1.36252,184,5.55,1.1404,6,0.62,67.144,62,5256,1227,5043,2.18135,0.130092,2.16586,180,2.71484,0,0,0
graf,199,221.72,4.7505,220,23.56,28.148,14,0.6,71.4415,60,6426,1253,6063,1.62395,0.31833,1.71532,215,2.0364,0,0,0
