RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Homography_estimator_Prosac_sampler
Runs for each image = 100
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 1
SPRT = 1


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails (<10%),Num fails (<25%),Num fails (<50%)
adam,132,133.38,0.487832,133,4.29,6.53089,1,0.2,88.4429,80,6846,2159,6772,0.811911,0.00385485,0.810671,133,0.826119,0,0,0
Brussels,979,1602.06,2.6124,1602.5,54.74,142.072,8,0.82,88.3267,80,48931,69984,37414,1.60273,0.0189285,1.6036,1595,1.64277,0,0,0
boat,263,304.4,3.49314,305,7.5,4.72368,6,0.81,89.0355,80,303503,761448,214632,1.12416,0.0442445,1.11555,290,1.27502,0,0,0
BostonLib,351,422,0,422,4.76,3.34579,6,0.6,53.6524,60,11746,31149,8782,0.429542,0.00121348,0.429213,422,0.43516,0,0,0
city,36,37.13,0.337997,37,11.26,2.37674,11,0.21,25.1992,21,2501,644,2312,0.545429,0.000783865,0.545725,37,0.545725,0,0,0
Boston,716,730.01,0.1,730,2.09,0.668104,2,0.8,90.0872,80,139789,1064867,21311,0.619924,0.00249172,0.618933,730,0.630312,0,0,0
Eiffel,350,353.06,0.238683,353,1.45,0.5,1,0.8,76.6163,80,213832,1803931,33241,0.458181,0.00620096,0.456238,353,0.496539,0,0,0
WhiteBoard,149,171.35,7.76599,175,5.21,4.85818,3,0.4,88.4065,80,6850,1685,6633,0.748547,0.184884,0.682345,117,2.2909,0,0,0
BruggeSquare,29,49.43,9.40584,52,58.67,46.5878,47,0.01,56.0337,41,4476,1378,4297,3.45764,1.82622,3.43271,25,11.3414,0,0,0
ExtremeZoom,68,130.82,0.821184,131,813.3,911.066,482,1,70.2465,61,16822,51834,9563,0.734248,0.0138246,0.736276,129,0.783396,0,0,0
BruggeTower,133,183.51,2.73583,184,8.84,9.01034,6,0.82,101.211,102,8654,1448,8743,2.17414,0.173952,2.17802,161,2.79948,0,0,0
graf,199,220.75,4.36093,219.5,28.2,28.654,16.5,0.6,104.391,100,14227,31319,10858,1.7046,0.260121,1.74078,215,2.07439,0,0,0
