adam,27,0,299.37,50.3617,5615,1028,0
Brussels,422.19,2.64267,744.47,406.321,26946,14548,0
LePoint1,104.7,7.31747,216.26,37.563,4568,710,0
boat,75.58,0.912096,1340.61,744.273,23170,12927,0
CapitalRegion,58.13,17.5198,1186.91,1096.92,22073,20555,28
LePoint2,75.59,10.8694,364.72,7.56131,6529,806,0
BostonLib,57.24,3.74198,7672.03,3305.09,156193,66809,0
city,25,0,3,0,127,4,0
LePoint3,40,0,160,0,2487,126,0
Boston,316,0,157,0,5279,543,0
Eiffel,83.38,3.95628,1985.39,312.545,42345,6741,0
WhiteBoard,182,0,388.95,8.98076,9297,1087,0
BruggeSquare,21.41,5.11306,854.59,144.56,12265,2595,0
ExtremeZoom,9.6,1.53741,6149,1968.74,88163,28917,0
BruggeTower,58,0,141,0,2284,70,0
graf,215,0,168,0,4525,589,0
