RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Homography_estimator_Uniform_sampler
Runs for each image = 100
Threshold for each image = 3
Desired probability for each image = 0.99
Standard LO = 0
Graph Cut LO = 0
SPRT = 1


Filename,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg time (mcs),Std dev time,Med time,Num fails
adam,21.82 / 27,8.14934,27,236.34,56.8314,248.5,3325,848,3367,29
Brussels,419.21 / 370,7.04143,420,506.83,332.926,444.5,7533,4413,6619,0
LePoint1,107.89 / 70,9.00605,114,171.04,94.5497,157,2624,1267,2412,0
boat,64.43 / 68,21.4746,75,1020.82,360.075,1019.5,14445,4814,14480,22
CapitalRegion,40.83 / 64,13.7106,36,2157.27,1061.32,1958,32786,16466,29479,31
LePoint2,87.79 / 82,8.44626,91,325.43,224.409,255.5,5458,3467,4488,0
BostonLib,56.74 / 58,5.65082,58,6889.14,2805.71,7184,92587,37905,97774,1
city,25.01 / 25,0.1,25,3.2,1.3633,3,150,24,153,0
LePoint3,40.45 / 35,4.17877,41,118.29,56.3975,114,1926,835,1853,1
Boston,314.64 / 316,13.6,316,161.73,90.6116,146,3289,1588,2888,0
Eiffel,82.5 / 76,7.25788,85,1191.25,610.946,1109.5,15989,7964,14637,0
WhiteBoard,182.02 / 178,0.283556,182,184.16,80.3637,181,2886,1085,2814,0
BruggeSquare,21.95 / 23,4.67397,21,384.04,195.593,347.5,5994,3126,5233,0
ExtremeZoom,8.93 / 14,2.26638,9,4483.53,2059.03,3905,60621,28050,52703,14
BruggeTower,55.75 / 55,4.53577,57,52.52,28.4596,50,1119,568,1016,0
graf,215.18 / 207,2.01199,215,100.2,52.406,92,1927,796,1774,0
