RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Homography_estimator_Uniform_sampler
Runs for each image = 100
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 1
SPRT = 0


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails
adam,26,22.59,6.97339,26,147.45,132.09,99,0.6,64.4139,60.5,3915,1388,3673,1317.46,3131.33,21.921,8,10989,20
Brussels,237,385.6,0.852803,386,20.78,18.6632,13,1.01,95.0487,81,13134,2433,12935,307.004,6.21628,307.875,383,319.832,0
LePoint1,48,87.87,6.14415,90.5,26.2,12.5915,21,0.8,93.8129,80,6718,1477,6370,142.473,38.7556,126.922,74,235.344,0
boat,57,59.64,9.83759,62,276.03,544.252,70.5,0.81,88.859,80,9958,8658,7273,111.019,274.647,51.1427,20,1878.57,5
CapitalRegion,33,35.65,10.9705,32.5,2690.48,2670.44,1944,0.6,93.5587,80,53232,46303,39207,399.976,548.913,192.526,18,2993.17,0
LePoint2,56,65.69,4.36398,67,73.99,75.1136,46,0.6,89.229,80,5128,1561,4971,102.26,53.0643,87.2358,57,273.9,0
BostonLib,55,57,0,57,1618.59,1410.54,1176,0.4,66.614,60,37990,28327,28524,27.6203,0.517317,27.5468,57,31.2224,0
city,25,25,0,25,2.1,0.38925,2,0.4,37.8556,40,1327,273,1406,10.0023,5.75087e-06,10.0023,25,10.0023,0
LePoint3,19,38.46,1.01921,39,39.41,38.8013,23.5,0.8,71.9539,60,3262,1021,3067,47.7422,2.31252,48.6786,32,50.7806,0
Boston,308,316,0,316,11.38,10.5723,7,0.6,76.2093,80,9168,1719,9095,161.932,1.09981,161.872,316,172.645,0
Eiffel,76,76.78,0.959588,77,278.23,497.279,168,0.6,80.1602,70.5,11966,10682,9810,45.7996,4.70741,47.1403,76,56.1066,0
WhiteBoard,144,176.67,3.50484,177,8.32,5.49174,6,0.8,79.6921,80,6655,1339,6638,83.7909,13.1444,82.2358,142,213.835,0
BruggeSquare,16,16.98,2.57407,17,618.46,341.957,539,0.6,48.269,40,10685,4763,8956,132.087,125.208,93.3354,13,493.655,0
ExtremeZoom,12,8.6,0.738549,9,9251.18,4037.17,8268,0.01,3.00715,1,130615,56824,117616,2069.25,2192.54,852.973,7,14159.8,0
BruggeTower,37,52.59,1.41489,53,19.78,13.5412,13.5,0.6,74.7065,80,3614,699,3617,60.5314,26.8403,71.3131,47,103.928,0
graf,200,206.18,0.386123,206,5.73,3.32683,4,0.8,80.1094,80,6883,1412,6876,121.014,0.747664,121.458,206,122.004,0
