RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Homography_estimator_Uniform_sampler
Runs for each image = 100
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 1
SPRT = 0


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails (<10%),Num fails (<25%),Num fails (<50%)
adam,132,133.28,0.451261,133,3,0,3,0.6,68.337,60,4304,693,3896,0.813062,0.00369493,0.81294,133,0.825677,0,0,0
Brussels,979,1602.13,2.55705,1602,12.04,3.32095,13,1.2,82.4895,80,23946,5897,22663,1.60277,0.0218402,1.60628,1595,1.65906,0,0,0
boat,263,305.05,2.47564,305,9.94,0.467532,10,0.8,75.3325,80,7004,1553,6991,1.15189,0.0545429,1.1434,299,1.2519,0,0,0
BostonLib,343,412,0,412,15.57,3.71797,17,0.4,62.1435,60,7003,1073,6895,0.425422,0.00474893,0.422375,412,0.434127,0,0,0
city,38,40,0,40,3,0,3,0.4,39.7995,40,2262,136,2243,0.573035,4.19334e-07,0.573035,40,0.573035,0,0,0
Boston,716,730,0,730,13.97,1.97691,13,0.8,80.7319,80,13268,3101,13047,0.623394,0.00108198,0.623142,730,0.629434,0,0,0
Eiffel,358,359.28,0.514045,359,18.98,0.724465,19,0.6,64.9535,60,7963,1596,7629,0.472647,0.00637006,0.472343,358,0.495574,0,0,0
WhiteBoard,152,176,0,176,13,0,13,0.6,60.0764,60,4499,659,4483,0.661667,0.00711623,0.658075,176,0.678934,0,0,0
BruggeSquare,26,57.57,3.21378,58,295.31,143.488,241,0.6,43.7657,40,8296,2802,7300,4.46116,1.07441,4.70517,41,5.82693,0,0,0
ExtremeZoom,69,132.4,0.635642,132,60,0,60,0.8,66.3836,60,5516,688,5105,0.725845,0.00791391,0.725049,131,0.744246,0,0,0
BruggeTower,130,183.74,1.69741,184,19.92,0.800001,20,0.8,93.4925,80,7154,1293,7288,2.2242,0.119475,2.20745,179,2.6624,0,0,0
graf,195,212.91,6.94727,211,55.15,16.382,70,0.6,77.2955,60,7865,1592,7407,1.59287,0.304271,1.69669,204,1.86907,0,0,0
