RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Homography_estimator_Uniform_sampler
Runs for each image = 100
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 1
SPRT = 1


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails (<10%),Num fails (<25%),Num fails (<50%)
adam,132,133.23,0.422953,133,5.6,4.40844,3,1.2,87.1613,80,6304,1201,6337,0.812179,0.00438097,0.810677,133,0.831443,0,0,0
Brussels,979,1602.24,2.25684,1603,14.54,2.09096,14,1,93.27,81,36047,5397,35110,1.60208,0.0188744,1.6048,1597,1.64362,0,0,0
boat,263,304.25,2.82262,305,72.02,1.00484,73,0.8,87.1353,80,10330,1860,9700,1.12798,0.0498162,1.124,298,1.2724,0,0,0
CapitalRegion,12,0.42,1.04621,0,10000,0,10000,0,0,0,75993,6121,74390,-nan,-nan,-nan,0,-nan,86,86,100
BostonLib,343,412,0,412,6.2,0.603023,6,0.6,63.8499,60,9548,1058,8908,0.426176,0.00500854,0.422375,412,0.433563,0,0,0
city,38,39,1.00504,39,10.76,1.37157,11,0.4,50.5373,40,3019,545,2876,0.580559,0.00759627,0.586793,38,0.587805,0,0,0
Boston,716,730.03,0.222701,730,13.42,2.71613,12,0.6,79.0073,80,18743,2434,18626,0.624597,0.0025569,0.62357,730,0.63445,0,0,0
Eiffel,358,359.35,0.479373,359,19,0,19,0.6,76.2429,80,11191,1760,11359,0.470522,0.00460945,0.468753,359,0.481078,0,0,0
WhiteBoard,152,175.9,1.63608,176,12.8,4.12678,9,0.6,63.3497,61,5688,1421,5543,0.673433,0.0291867,0.674122,161,0.939647,0,0,0
BruggeSquare,26,41.56,10.3907,35,879.24,218.737,1031,1.21,60.5115,41,10671,1239,10466,2.6878,0.71824,2.36476,35,4.49542,0,0,0
ExtremeZoom,69,131.72,0.636912,132,922.88,1152.84,136,0.61,78.9542,81,12819,9215,7170,0.725953,0.0158791,0.728081,131,0.788306,0,0,0
BruggeTower,130,180.39,8.41943,183,23.9,14.8252,13,1,117.771,120,9627,1930,9626,2.10244,0.406095,2.20246,153,2.80736,0,0,0
graf,195,230.04,1.41364,229.5,43,0,43,0.8,71.2372,60,8620,1149,7873,0.816759,0.009804,0.816545,228,0.871821,0,0,0
