RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Homography_estimator_Uniform_sampler
Runs for each image = 100
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 1
SPRT = 1


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails (<10%),Num fails (<25%),Num fails (<50%)
adam,132,133.26,0.484507,133,5,0,5,0.61,70.1909,61,5094,685,4734,0.811734,0.0036321,0.810668,133,0.823852,0,0,0
Brussels,979,1601.81,2.88393,1602,17.26,49.9401,10,0.8,101.228,100,38624,5221,37740,1.60464,0.022227,1.60961,1594,1.6466,0,0,0
boat,263,305.12,2.92768,305,10.74,0.733333,11,1,84.8945,80,9487,1614,9278,1.14574,0.056226,1.13127,297,1.27151,0,0,0
BostonLib,343,412,0,412,10.4,4.76095,7,0.6,62.1985,60,8714,708,8490,0.426009,0.00494153,0.422375,412,0.433281,0,0,0
city,38,39.98,0.2,40,7,0,7,0.41,35.2563,41,2113,570,2448,0.575839,0.00329863,0.573035,38,0.587805,0,0,0
Boston,716,730.01,0.1,730,15.42,2.84687,16,0.6,72.5048,60,16858,2502,15722,0.624135,0.00203053,0.623344,730,0.634377,0,0,0
Eiffel,358,359.3,0.460566,359,19.05,0.557321,19,0.8,64.2105,60,10048,1733,9794,0.470616,0.00449277,0.469283,359,0.483193,0,0,0
WhiteBoard,152,175.92,1.62481,176,23.07,0.536637,23,1.01,88.5704,81,7333,1196,7057,0.672744,0.0286668,0.674122,161,0.934939,0,0,0
BruggeSquare,26,61.09,1.27204,61,261.53,334.447,149,0.8,93.0195,80,8236,3076,6980,4.47606,0.17768,4.4763,57,4.83803,0,0,0
ExtremeZoom,69,131.62,0.678382,132,1848.11,2086.63,1230,0.21,92.0623,81,20346,14117,15874,0.729651,0.0181462,0.730098,130,0.782302,0,0,0
BruggeTower,130,183.13,1.8784,183,20.32,8.57396,15,0.8,88.998,80,7820,1278,7440,2.32044,0.186682,2.27659,178,2.8662,0,0,0
graf,195,218.81,10.4878,212,34.01,6.78605,36,1,102.161,100,11163,1920,10854,1.33068,0.459259,1.66084,204,2.10146,0,0,0
