RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Homography_estimator_Uniform_sampler
Runs for each image = 100
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 1
SPRT = 0


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails (<10%),Num fails (<25%),Num fails (<50%)
adam,132,133.16,0.368453,133,16,0,16,0.6,67.5993,60,6422,1276,6475,0.812179,0.00332262,0.810668,133,0.826069,0,0,0
Brussels,979,1602,2.49039,1602,12.6,5.09506,11,0.6,76.529,80,27102,4558,26867,1.60187,0.0226314,1.60142,1595,1.64332,0,0,0
boat,263,304.92,2.82013,305,9.92,0.646357,10,0.6,73.9777,60,7725,1945,7432,1.13386,0.052533,1.12763,294,1.26669,0,0,0
BostonLib,351,422,0,422,6,0,6,0.6,51.3223,60,6070,1095,6429,0.429539,0.00115322,0.429224,422,0.433722,0,0,0
city,36,38,0,38,3.56,0.498888,4,0.4,40.3654,41,2702,540,2432,0.543685,3.5943e-07,0.543685,38,0.543685,0,0,0
Boston,716,730,0,730,12.28,0.652579,12,0.8,73.0805,60,14386,3413,14097,0.619014,0.000892226,0.618717,730,0.621342,0,0,0
Eiffel,350,353.09,0.287624,353,21.02,1.12797,21,0.6,67.1092,60,8844,1903,8369,0.459527,0.00794469,0.45731,353,0.495127,0,0,0
WhiteBoard,149,175.13,0.337998,175,7.97,0.171447,8,0.6,65.5214,60,5171,993,4693,0.666396,0.00755858,0.66256,175,0.683204,0,0,0
BruggeSquare,29,54.55,3.85173,54.5,315.76,60.8712,291,0.6,60.1241,60,9774,1389,9583,1.82309,0.46285,2.02073,47,3.17288,0,0,0
ExtremeZoom,68,131.53,0.558769,132,742.72,132.076,634,0.6,65.9192,60,20743,2924,20286,0.726414,0.0089958,0.724396,130,0.756844,0,0,0
BruggeTower,133,183.76,1.5835,184,36.1,16.2987,48,1.4,91.6808,80,7478,2105,7339,2.17873,0.146024,2.16965,179,2.67593,0,0,0
graf,199,232.97,2.77236,233,28.44,1.71341,28,0.4,68.3981,60,6855,1661,6419,0.851632,0.155132,0.822085,218,1.81745,0,0,0
