RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Homography_estimator_Uniform_sampler
Runs for each image = 100
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 1
SPRT = 0


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails (<10%),Num fails (<25%),Num fails (<50%)
adam,132,133.17,0.377525,133,16,0,16,0.81,81.3903,81,6288,1115,6077,0.812521,0.0044185,0.810677,133,0.829246,0,0,0
Brussels,979,1602,2.51862,1602,9.7,3.0666,9,1,93.3427,81,37304,6227,35774,1.60317,0.0218759,1.60525,1595,1.64492,0,0,0
boat,263,304.24,3.8353,305,10.12,0.867831,10,1,97.8382,100,10660,1572,10737,1.13051,0.0582141,1.11881,287,1.29543,0,0,0
BostonLib,351,422,0,422,6,0,6,0.6,60.6314,60,9201,491,9032,0.429494,0.0010734,0.429224,422,0.433722,0,0,0
city,36,37.81,0.394277,38,1.19,0.394277,1,0.6,39.4185,40,2276,517,2326,0.542756,0.00197205,0.543685,37,0.543685,0,0,0
Boston,716,730.08,0.338744,730,12.32,1.11808,12,0.6,71.7006,60,17610,2803,16519,0.61978,0.00279539,0.618932,730,0.635384,0,0,0
Eiffel,350,350.58,17.2452,353,22.76,14.5436,21,1,110.577,100,14474,2247,15216,0.511194,0.373873,0.455985,228,3.36689,0,0,0
WhiteBoard,149,173.84,6.43652,175,17.23,4.24943,17,0.6,75.6171,80,6362,1182,6659,0.702276,0.162095,0.677836,117,2.21527,0,0,0
BruggeSquare,29,50.81,9.694,57,635.04,452.412,409,0.41,61.8508,41,15595,7803,10627,4.74198,1.72163,4.55143,35,7.93815,0,0,0
ExtremeZoom,68,131.18,0.701802,131,1952.09,2695.01,880,0.82,73.6475,62,45883,54600,23688,0.729372,0.0116952,0.730102,130,0.754975,0,0,0
BruggeTower,133,184.1,1.59228,184,17.28,3.08493,19,1,85.2388,80,8657,1813,8223,2.1892,0.117297,2.17802,180,2.66829,0,0,0
graf,199,219.18,2.80469,219,36.03,2.45136,36,0.6,90.6237,80,11264,1714,10941,1.77231,0.140136,1.74192,214,2.04701,0,0,0
