RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Homography_estimator_Uniform_sampler
Runs for each image = 100
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 1
SPRT = 1


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails (<10%),Num fails (<25%),Num fails (<50%)
adam,132,133.22,0.416333,133,8,0,8,0.8,66.8083,60,4855,1175,4426,0.812623,0.00392257,0.811283,133,0.827013,0,0,0
Brussels,979,1601.85,2.5361,1602,10.4,1.20605,10,0.6,88.2483,80,24256,5286,22891,1.60121,0.0250269,1.6048,1594,1.64356,0,0,0
boat,263,304.64,3.27994,305,10.73,0.941254,11,0.8,72.0224,60,6917,1442,6276,1.13369,0.0477436,1.12822,297,1.26674,0,0,0
BostonLib,351,422,0,422,28.44,15.1226,39,0.4,58.1005,60,6504,711,6740,0.429632,0.00142104,0.429224,422,0.435154,0,0,0
city,36,38,0,38,3,0,3,0.4,39.7995,40,2204,73,2171,0.543685,3.5943e-07,0.543685,38,0.543685,0,0,0
Boston,716,730.01,0.1,730,98.24,91.5936,14,0.6,77.1631,70,13313,2799,12582,0.619512,0.00584325,0.618717,730,0.67624,0,0,0
Eiffel,350,353.08,0.27266,353,32.09,11.7534,22,0.4,61.7679,60,7281,1883,7188,0.460177,0.00790872,0.457375,353,0.487155,0,0,0
WhiteBoard,149,175.07,0.256432,175,113,0,113,0.6,67.6871,60,5361,588,5033,0.664887,0.00610379,0.66256,175,0.683204,0,0,0
BruggeSquare,29,53.82,3.57991,53,331.83,234.138,238,0.8,67.3276,60,6364,1684,6094,1.87387,0.58007,1.81888,43,4.12484,0,0,0
ExtremeZoom,68,131.48,0.521846,131,278.52,243.758,207,0.6,66.9742,60,6315,1806,5568,0.727116,0.00880551,0.729099,130,0.74959,0,0,0
BruggeTower,133,183.99,1.53409,184,12.21,0.477684,12,0.8,81.1841,80,6107,1273,5953,2.15538,0.107503,2.1666,180,2.56274,0,0,0
graf,199,220.59,2.62888,220,36.09,2.45811,36,0.8,59.5308,60,6252,1705,6061,1.70848,0.143644,1.70919,213,2.00135,0,0,0
