RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Homography_estimator_Uniform_sampler
Runs for each image = 100
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 1
SPRT = 1


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails (<10%),Num fails (<25%),Num fails (<50%)
adam,132,133.19,0.394277,133,8,0,8,1.01,96.9957,101,7128,997,7157,0.812444,0.00417309,0.810668,133,0.824425,0,0,0
Brussels,979,1602.09,2.35743,1602,45.44,44.2523,39,1.4,92.0393,80,37957,5462,38204,1.60073,0.021406,1.60208,1597,1.64091,0,0,0
boat,263,305.06,3.19349,305,25.9,3.31662,27,0.8,111.252,101,12844,1841,12397,1.12663,0.0484372,1.1209,293,1.25876,0,0,0
BostonLib,351,422,0,422,7,0,7,0.8,71.2588,80,10460,1205,10667,0.429597,0.00132868,0.429224,422,0.435154,0,0,0
city,36,37.97,0.222701,38,4.76,1.15575,5,0.4,42.3492,40,2581,718,2444,0.545183,0.00538257,0.543685,36,0.59222,0,0,0
Boston,716,730.08,0.307483,730,12.84,2.77332,12,0.8,77.8156,80,19706,2871,19425,0.619517,0.00198546,0.618932,730,0.627572,0,0,0
Eiffel,350,351.87,11.8071,353,22.23,10.0049,21,0.8,107.769,100,15113,2154,15257,0.485388,0.282474,0.456109,235,3.2816,0,0,0
WhiteBoard,149,169.92,12.0886,175,16.97,10.1826,11,0.8,92.2017,80,8241,2294,8157,0.790225,0.307449,0.685211,117,2.21527,0,0,0
BruggeSquare,29,50.15,1.68999,50,238.86,50.5367,199,0.4,39.0658,40,5143,702,4955,1.70858,0.119155,1.76251,46,1.90344,0,0,0
ExtremeZoom,68,131.33,0.603944,131,1900.42,2005,1292,0.81,80.515,81,21292,14600,15406,0.726688,0.0115122,0.726571,130,0.75241,0,0,0
BruggeTower,133,183.98,1.36315,184,11.43,1.40888,11,0.8,93.7945,100,8112,1376,8313,2.18467,0.103611,2.17793,180,2.55719,0,0,0
graf,199,220.4,3.44363,220,39.34,27.1488,27,1.2,96.8884,90.5,11160,1481,10849,1.70704,0.193652,1.71869,212,1.9832,0,0,0
