RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Fundamental_estimator_Prosac_sampler
Runs for each image = 100
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 1
SPRT = 0


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails (<10%),Num fails (<25%),Num fails (<50%)
booksh,149,150.8,0.402015,151,1,0,1,0.6,65.6446,60,3446,475,3213,0.203711,0.0373692,0.222554,150,0.222554,0,0,0
box,0,162,7.55986,163,1.5,1.446,1,1.2,81.5437,80,4331,1036,4292,-1,-1,-1,133,-1,-1,-1,-1
castle,29,152.79,4.50207,156,1.85,0.609272,2,0.8,92.6285,80,4812,1359,4544,32.5105,52.0324,0.92636,126,443.139,0,0,0
corr,0,385.79,0.53739,386,1,0,1,0.6,61.3771,60,4919,807,4871,-1,-1,-1,384,-1,-1,-1,-1
graff,0,13.38,0.992701,14,2246.14,2383.66,916.5,0.02,1.79888,2,29064,30421,12300,-1,-1,-1,11,-1,-1,-1,-1
head,0,252.92,0.27266,253,1.57,0.86754,1,0.6,64.835,61,4042,849,3851,-1,-1,-1,252,-1,-1,-1,-1
kampa,2,98.02,4.22828,98,1.95,1.5,1,0.6,65.9602,60,3207,933,3111,0.366546,0.327613,0.25302,82,1.35495,0,0,0
Kyoto,0,934.8,10.0725,936,1.12,0.356186,1,0.8,89.6069,80,11690,2312,11166,-1,-1,-1,895,-1,-1,-1,-1
leafs,8,65.8,3.10099,68,5.97,2.11036,6,0.61,74.2332,71.5,3981,1149,4224,23.87,220.174,2.08843,47,2203.41,0,0,0
plant,1,121,0,121,2,0,2,0.6,66.0092,60,3791,679,3388,132.225,1.18725,131.997,121,136.388,0,0,0
rotunda,0,14.36,0.643852,14,134.92,41.8838,128,0.03,3.96027,4,1808,480,1711,-1,-1,-1,13,-1,-1,-1,-1
shout,2,65.9,6.85418,66,13.31,5.75018,12,0.81,76.372,62,4253,1691,3758,1.98695,3.07049,0.968705,48,16.3891,0,0,0
valbonne,0,123.86,0.738822,124,1.4,0.778499,1,0.6,63.6088,60,3234,749,3131,-1,-1,-1,119,-1,-1,-1,-1
wall,42,201,0,201,3.45,2.76477,3,1,109.448,100,5740,1366,5428,0.0657664,0.0106617,0.072218,201,0.072218,0,0,0
wash,0,21.17,3.50484,21,166.94,95.2556,149,0.01,2.0309,2,2524,1272,2274,-1,-1,-1,14,-1,-1,-1,-1
zoom,0,150,0,150,1.24,1.14698,1,0.8,64.9313,60,3529,661,3308,-1,-1,-1,150,-1,-1,-1,-1
