booksh,150.8,1,0.6,3446,0.203711,0,0,0
box,162,1.5,1.2,4331,-1,-1,-1,-1
castle,152.79,1.85,0.8,4812,32.5105,0,0,0
corr,385.79,1,0.6,4919,-1,-1,-1,-1
graff,13.38,2246.14,0.02,29064,-1,-1,-1,-1
head,252.92,1.57,0.6,4042,-1,-1,-1,-1
kampa,98.02,1.95,0.6,3207,0.366546,0,0,0
Kyoto,934.8,1.12,0.8,11690,-1,-1,-1,-1
leafs,65.8,5.97,0.61,3981,23.87,0,0,0
plant,121,2,0.6,3791,132.225,0,0,0
rotunda,14.36,134.92,0.03,1808,-1,-1,-1,-1
shout,65.9,13.31,0.81,4253,1.98695,0,0,0
valbonne,123.86,1.4,0.6,3234,-1,-1,-1,-1
wall,201,3.45,1,5740,0.0657664,0,0,0
wash,21.17,166.94,0.01,2524,-1,-1,-1,-1
zoom,150,1.24,0.8,3529,-1,-1,-1,-1
