RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Fundamental_estimator_Prosac_sampler
Runs for each image = 100
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 1
SPRT = 0


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails (<10%),Num fails (<25%),Num fails (<50%)
booksh,149,149.91,1.67027,150,1.07,0.517473,1,0.8,57.8514,60,3984,706,4071,0.160495,0.0699653,0.142414,135,0.73312,0,0,0
box,0,155.39,5.78031,156,6.6,4.19716,6,1,91.3214,80,6081,1360,5731,-1,-1,-1,131,-1,-1,-1,-1
castle,29,149.78,5.82155,150,2.83,1.40025,3,0.4,78.8437,80,5358,1295,5509,47.4452,43.1113,65.8089,127,285.792,0,0,0
corr,0,385.71,0.671122,386,1,0,1,0.6,61.5493,60,6309,760,6227,-1,-1,-1,384,-1,-1,-1,-1
graff,0,13.33,0.943398,14,2132.08,2349.06,895.5,0.01,1.59542,1.5,27465,29782,11724,-1,-1,-1,10,-1,-1,-1,-1
head,0,252.51,0.502418,253,1.72,1.3932,1,0.61,70.8607,61,5911,1338,5587,-1,-1,-1,252,-1,-1,-1,-1
kampa,2,96.17,5.23017,98,5.06,3.24682,5,0.6,65.4783,60,4035,1150,3952,0.326369,0.461747,0.243124,73,2.80579,0,0,0
Kyoto,0,927.12,46.7645,934.5,1.08,0.393893,1,1.4,100.329,100,20905,2861,20792,-1,-1,-1,595,-1,-1,-1,-1
leafs,8,65.35,4.06357,66,7,2.43709,6,0.21,43.376,41,3250,769,3272,48.4424,270.293,2.64913,47,2157.35,0,0,0
plant,1,116.08,9.83673,121,9.18,7.22703,7.5,0.6,90.3321,80,6139,1084,5801,120.152,25.2597,131.187,81,146.024,0,0,0
rotunda,0,14.26,0.561743,14,141.76,43.7181,128,0.03,4.20941,4,2063,520,1988,-1,-1,-1,13,-1,-1,-1,-1
shout,2,66.07,6.80946,67,13.67,5.74378,13,0.82,68.8872,62,4610,1529,4576,3.39696,6.14134,0.984496,48,32.9119,0,0,0
valbonne,0,123.29,1.44457,123,2.26,1.85113,2,0.61,64.0958,60,3970,886,3832,-1,-1,-1,110,-1,-1,-1,-1
wall,42,199.28,8.88204,201,7.12,4.0409,6,1.6,128.943,120,8437,1656,8128,0.201279,1.30145,0.0483234,122,12.905,0,0,0
wash,0,21.7,3.10913,22,170.73,91.1757,149,0.02,2.08225,2,2843,1204,2619,-1,-1,-1,15,-1,-1,-1,-1
zoom,0,146.34,15.6213,150,13.28,10.6022,10.5,0.81,95.7782,91,6066,1589,6156,-1,-1,-1,68,-1,-1,-1,-1
