booksh,149.91,1.07,0.8,3984,0.160495,0,0,0
box,155.39,6.6,1,6081,-1,-1,-1,-1
castle,149.78,2.83,0.4,5358,47.4452,0,0,0
corr,385.71,1,0.6,6309,-1,-1,-1,-1
graff,13.33,2132.08,0.01,27465,-1,-1,-1,-1
head,252.51,1.72,0.61,5911,-1,-1,-1,-1
kampa,96.17,5.06,0.6,4035,0.326369,0,0,0
Kyoto,927.12,1.08,1.4,20905,-1,-1,-1,-1
leafs,65.35,7,0.21,3250,48.4424,0,0,0
plant,116.08,9.18,0.6,6139,120.152,0,0,0
rotunda,14.26,141.76,0.03,2063,-1,-1,-1,-1
shout,66.07,13.67,0.82,4610,3.39696,0,0,0
valbonne,123.29,2.26,0.61,3970,-1,-1,-1,-1
wall,199.28,7.12,1.6,8437,0.201279,0,0,0
wash,21.7,170.73,0.02,2843,-1,-1,-1,-1
zoom,146.34,13.28,0.81,6066,-1,-1,-1,-1
