RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Fundamental_estimator_Prosac_sampler
Runs for each image = 100
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 1
SPRT = 1


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails (<10%),Num fails (<25%),Num fails (<50%)
booksh,149,150.79,0.40936,151,1,0,1,0.6,65.1541,60,3413,414,3225,0.203872,0.0370504,0.222554,150,0.222554,0,0,0
box,0,161.6,8.1377,163,1.46,1.09563,1,0.8,83.0684,80,4366,997,4309,-1,-1,-1,136,-1,-1,-1,-1
castle,29,151.53,3.64166,150,2.16,0.73471,2,1.2,96.1287,100,4871,1111,5038,43.5653,31.1404,61.5776,136,137.614,0,0,0
corr,0,385.88,0.432983,386,2.02,0.710385,2,0.8,60.9146,60,4958,782,4891,-1,-1,-1,384,-1,-1,-1,-1
graff,0,13.24,1.00624,13.5,2190.38,2448.63,961.5,0.01,1.90812,2,25367,27294,11812,-1,-1,-1,10,-1,-1,-1,-1
head,0,252.92,0.27266,253,4.04,2.23796,4,0.6,65.1547,61,4106,622,3909,-1,-1,-1,252,-1,-1,-1,-1
kampa,2,98.54,3.02655,98,2.26,1.84018,1,0.4,66.6697,60,3273,979,3071,0.333312,0.269493,0.25302,81,1.30952,0,0,0
Kyoto,0,935.78,6.72787,935,2.04,0.28141,2,1.4,89.3077,80,11720,2226,11468,-1,-1,-1,903,-1,-1,-1,-1
leafs,8,64.38,6.08655,67,10.05,5.39056,9.5,0.81,67.8268,61,3591,1356,3544,137.529,617.532,2.08843,35,4807.86,0,0,0
plant,1,121,0,121,2.54,1.00925,2,0.8,67.0124,60,3714,516,3392,132.503,1.31129,131.997,121,136.388,0,0,0
rotunda,0,13.82,0.821184,14,133.27,32.7839,136,0.03,3.81463,4,1800,361,1803,-1,-1,-1,13,-1,-1,-1,-1
shout,2,63.36,7.88749,62,16.49,6.79497,16,0.22,74.2966,62,4057,1473,3825,3.70539,5.09558,1.84593,48,35.6692,0,0,0
valbonne,0,123.8,0.619546,124,1.6,1.17207,1,0.4,65.6631,60.5,3398,656,3226,-1,-1,-1,119,-1,-1,-1,-1
wall,42,200.98,0.2,201,4.99,4.94923,3,1,102.359,100,5750,1368,5399,0.0634208,0.0116695,0.072218,199,0.0812267,0,0,0
wash,0,20.64,3.40386,20,197.82,117.977,161,0.01,1.82765,1,2012,892,1776,-1,-1,-1,15,-1,-1,-1,-1
zoom,0,150,0,150,1.51,2.11534,1,0.6,65.5023,60,3669,911,3259,-1,-1,-1,150,-1,-1,-1,-1
