booksh,150.79,1,0.6,3413,0.203872,0,0,0
box,161.6,1.46,0.8,4366,-1,-1,-1,-1
castle,151.53,2.16,1.2,4871,43.5653,0,0,0
corr,385.88,2.02,0.8,4958,-1,-1,-1,-1
graff,13.24,2190.38,0.01,25367,-1,-1,-1,-1
head,252.92,4.04,0.6,4106,-1,-1,-1,-1
kampa,98.54,2.26,0.4,3273,0.333312,0,0,0
Kyoto,935.78,2.04,1.4,11720,-1,-1,-1,-1
leafs,64.38,10.05,0.81,3591,137.529,0,0,0
plant,121,2.54,0.8,3714,132.503,0,0,0
rotunda,13.82,133.27,0.03,1800,-1,-1,-1,-1
shout,63.36,16.49,0.22,4057,3.70539,0,0,0
valbonne,123.8,1.6,0.4,3398,-1,-1,-1,-1
wall,200.98,4.99,1,5750,0.0634208,0,0,0
wash,20.64,197.82,0.01,2012,-1,-1,-1,-1
zoom,150,1.51,0.6,3669,-1,-1,-1,-1
