RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Fundamental_estimator_Prosac_sampler
Runs for each image = 100
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 1
SPRT = 1


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails (<10%),Num fails (<25%),Num fails (<50%)
booksh,149,150.09,1.51821,150,1.08,0.442217,1,0.41,55.749,60,3981,741,4121,0.168844,0.0637666,0.150675,137,0.632186,0,0,0
box,0,155.21,5.74948,157,7.63,4.09398,7.5,0.8,89.3884,80,5955,1271,5705,-1,-1,-1,129,-1,-1,-1,-1
castle,29,148.83,6.15302,150,3.81,3.00402,3,0.4,73.2716,60,5011,1367,4682,73.8365,167.521,67.363,126,1562.32,0,0,0
corr,0,385.56,0.795442,386,1.87,0.799684,2,0.6,63.2465,60,6377,781,6260,-1,-1,-1,384,-1,-1,-1,-1
graff,0,13.12,1.01782,13,2266.37,2201.92,1156,0.01,1.55723,1,26054,24431,14292,-1,-1,-1,11,-1,-1,-1,-1
head,0,252.51,0.502418,253,4.2,2.44536,4,0.81,67.2985,61,5796,1205,5544,-1,-1,-1,252,-1,-1,-1,-1
kampa,2,95.33,5.62292,97.5,8.67,4.94833,8,0.8,67.183,60,4249,1155,4018,0.38669,0.603758,0.243124,77,3.79842,0,0,0
Kyoto,0,923.17,64.0617,934.5,2.07,0.355477,2,1,101.6,100,20916,3207,20805,-1,-1,-1,506,-1,-1,-1,-1
leafs,8,64.16,6.81015,66.5,12.52,4.83355,11,0.21,32.6324,22,2688,707,2382,125.285,541.699,2.64913,40,4351.36,0,0,0
plant,1,116.12,10.1457,121,11,11.7362,7,0.8,84.2343,80,5887,1025,5734,122.519,26.9879,132.501,88,163.799,0,0,0
rotunda,0,13.8,0.724743,14,134.07,35.1612,135.5,0.05,3.77144,4,1923,361,1935,-1,-1,-1,13,-1,-1,-1,-1
shout,2,63.36,7.1457,64,16.54,6.22705,16,0.64,57.7424,52.5,4149,1322,4153,6.21945,18.2962,1.56257,41,145.418,0,0,0
valbonne,0,123.29,1.45848,123,2.97,3.19234,1,0.6,65.6168,60,3999,859,3897,-1,-1,-1,110,-1,-1,-1,-1
wall,42,198.92,10.2491,201,11.78,7.70882,10,1.4,121.392,120,8072,1457,8068,1.97793,16.7159,0.0483234,117,166.447,0,0,0
wash,0,21.25,3.3375,20.5,186.91,99.6519,150,0.01,1.78022,1,2105,701,1975,-1,-1,-1,14,-1,-1,-1,-1
zoom,0,144.6,19.7264,150,19.47,16.6305,16.5,1,91.335,81,5853,1513,5534,-1,-1,-1,62,-1,-1,-1,-1
