RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Fundamental_estimator_Uniform_sampler
Runs for each image = 100
Threshold for each image = 3
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 0
SPRT = 0


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails
booksh,0,10,0,10,2,0,2,0,0,0,98,45,92,0,0,0,10,0,0
box,0,9,0,9,20,0,20,0,0,0,751,2995,350,0,0,0,9,0,0
castle,0,12,0,12,8,0,8,0,0,0,128,22,120,0,0,0,12,0,0
corr,0,13,0,13,2,0,2,0,0,0,72,13,68,0,0,0,13,0,0
graff,0,10,0,10,1,0,1,0,0,0,82,22,68,0,0,0,10,0,0
head,0,14,0,14,4,0,4,0,0,0,102,26,86,0,0,0,14,0,0
kampa,0,11,0,11,4,0,4,0,0,0,109,25,99,0,0,0,11,0,0
Kyoto,0,10,0,10,6,0,6,0,0,0,149,32,130,0,0,0,10,0,0
leafs,0,10,0,10,10,0,10,0,0,0,117,10,115,0,0,0,10,0,0
plant,0,8,0,8,4,0,4,0,0,0,146,34,159,0,0,0,8,0,0
rotunda,0,10,0,10,4,0,4,0,0,0,219,333,188,0,0,0,10,0,0
shout,0,11,0,11,1,0,1,0,0,0,70,7,69,0,0,0,11,0,0
valbonne,0,9,0,9,9,0,9,0,0,0,217,39,233,0,0,0,9,0,0
wall,0,13,0,13,6,0,6,0,0,0,124,14,121,0,0,0,13,0,0
wash,0,9,0,9,13,0,13,0,0,0,208,43,222,0,0,0,9,0,0
zoom,0,9,0,9,37,0,37,0,0,0,513,103,530,0,0,0,9,0,0
