RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Fundamental_estimator_Uniform_sampler
Runs for each image = 100
Threshold for each image = 3
Desired probability for each image = 0.95
Standard LO = 1
Graph Cut LO = 0
SPRT = 0


Filename,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails
booksh,9.86 / 10,0.512865,10,3.63,2.30789,3,0.45,71.4566,70.5,3482,894,3242,5.09568,10.6787,2.18065,8,43.8239,0
box,8.06 / 0,0.342893,8,9.13,1.36814,9,0.13,25.7336,23.5,1240,593,1154,0,0,0,8,0,0
castle,11.98 / 12,0.140705,12,1.1,0.57735,1,0.25,25.7666,25,1137,283,1102,2.26043,5.87656,1.42513,11,43.1902,0
corr,13 / 0,0,13,3,0,3,0.7,73.4963,75,2140,343,2093,0,0,0,13,0,0
graff,10 / 0,0,10,1,0,1,0.4,39.034,35,1455,354,1384,0,0,0,10,0,0
head,14 / 0,0,14,3,0,3,0.6,67.6066,65,2562,675,2359,0,0,0,14,0,0
kampa,11.02 / 12,0.140705,11,5.17,2.08436,4,0.05,11.0911,10,1204,513,1106,6.08694,0.0126387,6.08515,11,6.17497,0
Kyoto,10 / 0,0,10,1.1,1,1,0.1,23.3861,20,1050,213,1028,0,0,0,10,0,0
leafs,9.18 / 9,0.386123,9,11,0,11,0.04,5.36943,5,1394,382,1282,18.6437,3.95514,16.8,9,27.0432,0
plant,9 / 10,0,9,7,0,7,0,3.01511,0,1238,274,1101,8.86104,9.58479e-06,8.86105,9,8.86105,0
rotunda,10 / 0,0,10,4,0,4,0.3,30.0725,30,1366,425,1273,0,0,0,10,0,0
shout,11 / 10,0,11,3,0,3,0.46,49.4452,49.5,1931,358,1845,1.53208,0,1.53208,11,1.53208,0
valbonne,9 / 0,0,9,11,0,11,0.19,10.8847,9,1744,228,1675,0,0,0,9,0,0
wall,10 / 12,0,10,3,0,3,0,3.13823,0,729,166,662,32.759,2.68374e-05,32.759,10,32.759,0
wash,9 / 0,0,9,5.16,1.75649,6,0,4.11329,0,1192,334,1048,0,0,0,9,0,0
zoom,13 / 0,0,13,3.84,1.82419,5,0.42,33.0076,30.5,1660,486,1670,0,0,0,13,0,0
