RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Fundamental_estimator_Uniform_sampler
Runs for each image = 100
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 1
SPRT = 0


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails (<10%),Num fails (<25%),Num fails (<50%)
booksh,149,150.62,0.487832,151,4.01,0.1,4,0.8,60.5136,60,3404,1561,3213,0.189244,0.0439486,0.222758,150,0.222758,0,0,0
box,0,153.87,4.20595,155,20.18,3.6192,20,0.8,77.9359,80,4363,1184,4437,-1,-1,-1,142,-1,-1,-1,-1
castle,29,149.27,4.24943,150,22.64,6.86599,20.5,0.8,103.319,100,5808,1184,5638,67.3324,100.678,63.8211,135,1031.66,0,0,0
corr,0,385.77,0.600589,386,1,0,1,0.4,43.3263,40,3644,741,3467,-1,-1,-1,384,-1,-1,-1,-1
graff,0,12.9,1.07778,13,10000,0,10000,0.02,2.01439,2,126906,3784,125526,-1,-1,-1,11,-1,-1,-1,-1
head,0,252.83,0.377525,253,5,0,5,0.6,64.258,60,4001,616,3791,-1,-1,-1,252,-1,-1,-1,-1
kampa,2,100.04,5.44934,100,24.43,3.37625,25,0.4,54.9497,60,3120,595,3330,0.449074,0.285127,0.329084,86,1.10447,0,0,0
Kyoto,0,933.12,11.3282,934.5,14.58,0.976285,14,1,95.5357,100,12331,2586,12800,-1,-1,-1,869,-1,-1,-1,-1
leafs,8,67.39,1.6074,68,224.28,13.1641,231,0.41,46.5931,41,5874,260,5751,1.92447,0.537195,2.12736,63,2.12736,0,0,0
plant,1,121,0,121,53.86,1.95928,53,1,89.3037,80,5506,641,5229,131.985,0.832785,132.027,121,135.782,0,0,0
rotunda,0,14,0,14,78,0,78,0.05,4.97493,5,1244,117,1212,-1,-1,-1,14,-1,-1,-1,-1
shout,2,78,0,78,137,0,137,0.8,97.1529,80,6923,1018,6349,1.51116,0.534161,1.03041,78,2.09873,0,0,0
valbonne,0,123.86,0.348735,124,4.14,0.348735,4,0.4,52.1799,40,2653,587,2282,-1,-1,-1,123,-1,-1,-1,-1
wall,42,201,0,201,5.36,0.482418,5,0.6,53.1554,60,3203,522,3395,0.0637967,0.0114673,0.0721667,201,0.0723337,0,0,0
wash,0,26.08,1.52872,26,2376.16,560.138,2404,0.03,4.27801,4,31270,7279,31578,-1,-1,-1,24,-1,-1,-1,-1
zoom,0,150,0,150,7,0,7,0.81,59.3404,61,3307,559,3318,-1,-1,-1,150,-1,-1,-1,-1
