booksh,150.62,4.01,0.8,3404,0.189244,0,0,0
box,153.87,20.18,0.8,4363,-1,-1,-1,-1
castle,149.27,22.64,0.8,5808,67.3324,0,0,0
corr,385.77,1,0.4,3644,-1,-1,-1,-1
graff,12.9,10000,0.02,126906,-1,-1,-1,-1
head,252.83,5,0.6,4001,-1,-1,-1,-1
kampa,100.04,24.43,0.4,3120,0.449074,0,0,0
Kyoto,933.12,14.58,1,12331,-1,-1,-1,-1
leafs,67.39,224.28,0.41,5874,1.92447,0,0,0
plant,121,53.86,1,5506,131.985,0,0,0
rotunda,14,78,0.05,1244,-1,-1,-1,-1
shout,78,137,0.8,6923,1.51116,0,0,0
valbonne,123.86,4.14,0.4,2653,-1,-1,-1,-1
wall,201,5.36,0.6,3203,0.0637967,0,0,0
wash,26.08,2376.16,0.03,31270,-1,-1,-1,-1
zoom,150,7,0.81,3307,-1,-1,-1,-1
