RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Fundamental_estimator_Uniform_sampler
Runs for each image = 100
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 1
SPRT = 0


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails (<10%),Num fails (<25%),Num fails (<50%)
booksh,149,150.19,0.787465,150,4.69,1.012,4,0.6,58.0244,60,4056,920,4063,0.160055,0.0406894,0.142524,148,0.262832,0,0,0
box,0,156.38,1.88979,157,18.98,1.89086,19,0.6,61.0187,60,4735,1034,4606,-1,-1,-1,152,-1,-1,-1,-1
castle,29,153.4,3.82971,155,30.21,2.91736,32,0.81,79.1961,81,6180,784,6238,14.2042,29.4952,0.620253,136,96.0425,0,0,0
corr,0,385.58,0.793662,386,1,0,1,0.6,43.7333,40,5058,774,4889,-1,-1,-1,384,-1,-1,-1,-1
graff,0,12.25,0.715979,12,10000,0,10000,0.02,1.56438,1,125960,2643,125206,-1,-1,-1,11,-1,-1,-1,-1
head,0,252.26,0.440844,252,5.26,0.463191,5,0.8,65.6738,60,5633,931,5347,-1,-1,-1,252,-1,-1,-1,-1
kampa,2,98.44,0.924635,98,28.87,0.917341,29,0.6,81.5326,80,5268,955,5187,0.197405,0.0483381,0.19724,98,0.656655,0,0,0
Kyoto,0,933.02,12.259,934.5,15.63,1.99826,15,1.01,86.8047,80,19556,2844,19309,-1,-1,-1,869,-1,-1,-1,-1
leafs,8,64.95,2.45104,63,753.06,189.647,903,0.41,50.5678,41,14220,2285,15764,16.7441,6.21951,12.0889,63,24.5701,0,0,0
plant,1,117.6,7.96711,121,266.33,162.139,231,1.04,88.7601,84,10662,3317,9866,123.99,23.3993,133.894,88,142.252,0,0,0
rotunda,0,15.31,0.464823,15,69.01,13.4799,78,0.04,4.69649,5,1252,207,1380,-1,-1,-1,15,-1,-1,-1,-1
shout,2,65.11,1.1,65,180.84,1.6,181,1.01,101.454,101,8830,477,8691,1.54238,0.0101618,1.5434,65,1.5434,0,0,0
valbonne,0,123.24,0.473969,123,5.77,2.84216,5,0.6,76.4583,61,4534,1131,3933,-1,-1,-1,122,-1,-1,-1,-1
wall,42,200.74,0.675995,201,6.49,0.541136,7,0.4,33.0802,20,3133,644,2696,0.0481061,0.00590614,0.0453945,199,0.0725082,0,0,0
wash,0,26.9,1.25931,27,1789.4,603.058,1402,0.05,4.01644,3,23904,8140,19030,-1,-1,-1,24,-1,-1,-1,-1
zoom,0,150,0,150,12.54,16.1885,11,0.82,80.444,80,5372,1293,5123,-1,-1,-1,150,-1,-1,-1,-1
